,,Label,Tweet
7.85597E+17,???????,positive,????? ?????? ?? ??? ???? ??? WhatsApp https://t.co/s7BDUACi4e#????_?? #WhatsApp #??????? https://t.co/poLqMGAcJw
7.85602E+17,???????,positive,4 ??????? ????? ?????? ??????? - https://t.co/dLSAi4o8Nk https://t.co/291y4zB4VA
7.85608E+17,???????,positive,???? ???? ??????? ??? ??????? ????? ???? ?????? https://t.co/P6rkpHKDfN
7.85744E+17,???????,positive,"RT @20fourMedia: ???? 5 ????? ??????? ??? ??? ??? 7"" ?????? ????????https://t.co/Jtl5SdEeOS https://t.co/C9DFrhJERr"""
7.85799E+17,???????,positive,?????? ???? ?? ??? ??????? 3 ??????? ????? ????? ?????? ????? #???????#?????_?????https://t.co/Q3KPCTcDE0
7.85815E+17,???????,positive,????? ?????? ?? ????????? ??? ????? #???????https://t.co/6UVkzpQuZ6 https://t.co/p4XMuvhuVV
7.8584E+17,???????,positive,????? ??? ???????.. ??? ???? ????? ?? ?????.. ??????? ?? ?????https://t.co/326SuXOf4v#??_??????_?????? #?????_????????
7.85921E+17,???????,positive,??? ??? ????? ???? ???? Google Play https://t.co/s7BDUACi4e#???? #Google https://t.co/F40LDhkNbr
7.85929E+17,???????,negative,RT @TechVoicenet: ???????? ?? ????? ????? ??????? ??? ???? https://t.co/fntMRQ3kIE https://t.co/uJtPTJLm4c
7.84537E+17,???????,negative,?????? ???? ??????? ??????? ??? ???? 98 ???? ?????? ??????? https://t.co/dZe9NuP5p5
7.84538E+17,???????,negative,????????: ??????? ????? ???? ????? ?????? ???? ????? ??????? https://t.co/qJ8c3FniNH https://t.co/IOA7I94mdP
7.84855E+17,???????,negative,RT @MG_lawyer: ?????? ??????? 41 ???? ??? ????? ??????? ????????????? ????? ???? ????? ?? ?????! https://t.co/q2ZLC2MnUX
7.84856E+17,???????,negative,"RT @AlkhaleejOnline: ?????? ?????? ?????????? ??????? ??????? ???? ?? ???????""https://t.co/djZO6YdR2A"""
7.84864E+17,???????,negative,@ashraaf_alsaad @SALHACHIMI @fchoubachy ?????...?????? ?????? ??????? ???????? ???? ???? ????? ??????? ????????? https://t.co/tQxwikdc6a
7.84865E+17,???????,negative,RT @AJArabic: ??????? ??????????? ????? ?? ???? ??????? ???? ???? ????? ?????? ????? ??????? ???? ??? ????? ????????? ??? #??????https://t…
7.84884E+17,???????,negative,RT @thenewkhaleej: ???? ??????: ??????? ????? ??? ?????? ?(???????) ??????? ???? ??? ??? 10 ????? ??????????: https://t.co/ghQtAQt60xhttp…
7.84889E+17,???????,negative,???? ????? ???????? ???? ??? ????? ??????? ??? (???????)?? ???? ?????: https://t.co/F2AVo7r2PF https://t.co/SOyyNasOFb
7.84898E+17,???????,negative,??????? ???? ???? ?? ??????? ???? ???????? ???????? ?? ???? ?? 300 ?400 ????? ??????? ???? ???? ??????? ??????... https://t.co/MiST2ginFA
7.84905E+17,???????,negative,????? ?????????? ????? ??? ?? ??????? ??? ????? ??????? ???????????? ?????? ???? ???????? ??? ????? ???????? https://t.co/raz6CU02hl
7.85198E+17,???????,negative,???? .. ?? ???? ????????? ??? ( ?????????? ) ????? .??? ???? ???????? ?? ?????? ??? ????? ????? ( ???? ???? ) ?? ?? ??????? ..????
7.85198E+17,???????,negative,?? ??????????? ?????????? ?? ???????? ??????????????? ??????? ?? ???? ?????? ???????????..?????????? ????????? ?? ??????? ???????
7.85206E+17,???????,negative,#????_????_????  ????? ?????: ???? ????? ????? ?????? ??? ???????  https://t.co/FCUxI4ZwUp
7.85206E+17,???????,negative,RT @RevSons: #????_????_????  ????? ?????????: ?????? ???? ?????? ???????  ?? ??????? ???????  https://t.co/tqvpPYwudk
7.85207E+17,???????,negative,"#????_????_????  ?????: ???? ?? ????????? ??? ?????? ??? ???????""  https://t.co/3TBE8mx8Qr"""
7.85209E+17,???????,negative,RT @Arabi21News: #??? ????? ????? ??????? ?????? ???? #??????? ?????? ???? #???.. ???? ?????????? ????:https://t.co/WhRhDTQ6eMhttps://t.…
7.85209E+17,???????,negative,#?????? ???? ????? ???? ?????? ?????????? ?? #????? ??????? https://t.co/EqFUZIGGyg#??????? #?????? #?????? https://t.co/q0Geml2Jeo
7.85213E+17,???????,negative,#????_????_????  ???????: ??????? ????? ????? ?????????!  https://t.co/AslIDiZeK5
7.85223E+17,???????,negative,"RT @alaraby_ar: ??????? ????? ??????"" ??? ????? ?????https://t.co/yuy6PHZecm?????? ??????https://t.co/9LtyH6spgw"""
7.85224E+17,???????,negative,???? ????? ?????? ??? ??? ????? ??????? ????? ??? ??? ???? ?? ????? https://t.co/mwe5fk3aXI
7.85237E+17,???????,negative,???? ????? ??????? ???? ???? ???? ??? ??? ???????   @AlArabiya ? https://t.co/Jt6pxGjM9D https://t.co/7nnTCjfif0
7.85245E+17,???????,negative,????? ???????? ??????? ??? ????? ????? ?? ???????: ???? ?????? ??????? ????? ????? ?????? ??????? ???????? ??... https://t.co/GLHS0pkV2f
7.85245E+17,???????,negative,"RT @caironewsportal: ? #????_?????? ????#?????""????? ????? ?????? #??????? ?? #???????_?????? https://t.co/1H4rJ2g1Gz#?????  @kasimf http…"""
7.85248E+17,???????,negative,??????? ????? 2355 ?????? ???? ??? #???????? https://t.co/FE0AsiOjSq
7.85248E+17,???????,negative,"RT @Rasa171a: ??????? ?????"" ?????? ?? ???? ????? ???????   https://t.co/pTmmpDu3wJ https://t.co/v2pAvjwN6d"""
7.8525E+17,???????,negative,"????? ???????? ?????????? ???? ??? ?????? ?????? ????? ????? ??? ???? ?????? ??????? ????? ??? ??? ???? ?? ??... https://t.co/wvKLxBvRxG"""
7.85265E+17,???????,negative,"RT @AJArabic: ??? ???? ????????? ?? ??????? ?????? ??? ????? ????? ?? ????? ????"" ?""??? ????? ??????""https://t.co/v0Rxu3uKVg"""
7.85511E+17,???????,negative,#???????? | ???????? ???? ????? ??????? ???????? ?? ????? ??????? https://t.co/xR8DVfT8bF https://t.co/sUIq0Uky5P
7.85515E+17,???????,negative,RT @thenewkhaleej: ?? ???? (#???????) ???? ?????? ?? ?????? ??? ????? «?????» ?? #??????????? ???? ?????: https://t.co/yI0KtQ83c2 https:/…
7.85517E+17,???????,negative,#??????? | ??? #?????? .. ????? #??????? ????? ???? ?????? #??????? ??????? #?????????? ???????… https://t.co/Aug1D0XtWr
7.85519E+17,???????,negative,"??????? ???? ???? ???????"" ???????? ??????:  ????? - ????? ??????? ????? ????? ???????? ?????????? ??????? ?... https://t.co/KjPh6mKwm7"""
7.8552E+17,???????,negative,???????? ?????????? ???? ???? ????? ????????? ?????????? https://t.co/6LmcA1nCrP #??????? #?????? #?????
7.85523E+17,???????,negative,"???????: ???????? ?????????? ???? ???? ????? ????????? ??????????: ???? ???????? ??????????? ????? ???????? ?... https://t.co/RP6yXPeMH0"
7.85529E+17,???????,negative,''???????'' ???? ?????? ?????? ?????????? ??????#??????? #?????? #???????? #?????? https://t.co/miFnTpzZbV
7.85529E+17,???????,negative,RT @algepally: ????: ??? ???? ????? ????? ?????? ???????? ????????? ???????? ???? ????? https://t.co/ABhD8b7YmD via @sputnik_ar
7.85533E+17,???????,negative,?????? ?? ????? ????????: ??????? ????? ?????? ?? ???????? ?? ?????? ?????? ??… https://t.co/eau7pQiXBI https://t.co/yvKwnqVikj
7.85539E+17,???????,negative,?? ?? ??? ???? ??????? ????? ??? ????? ???????? ????! https://t.co/k0yLXywgVZ
7.85539E+17,???????,negative,RT @al_watanQatar: ???? ????? ???? ????? ???? ????? ???????? ????? ????? ??? #???????https://t.co/a47cuCurcd#?????? #??????_????? #??????…
7.85541E+17,???????,negative,#???? | ????? ??? ????.. «??? ??????» ???? ???? ??? ??????????? ???? ??????https://t.co/48eEVMOkJa https://t.co/G3YcT9scWo
7.85541E+17,???????,positive,RT @aa_arabic: ????? ??????? ???????: ??????? ?? #??????? ? #????? ??? ?????? ?????????? ???????? https://t.co/nm47dssKdY https://t.co/PX…
7.85547E+17,???????,negative,RT @MethaqAbdullah: ????? ???? ???????? ???? ?????? ???????? ?? ??????? - ??????? https://t.co/s2C2uR6hXg
7.85548E+17,???????,negative,#??????? ????? 31 ????????? ?????? ????? ???? ???? ???? #?????https://t.co/LciuNtToog#????? #??????? https://t.co/mKrofSY2lM
7.85559E+17,???????,negative,RT @aawsat_News: ?? #?????? | ??????? ????? ????? ??????????? ?? ????? ??????? ???????  https://t.co/Q4c8Qn7kN7 https://t.co/XyvSmfhSHc
7.8556E+17,???????,negative,RT @Arabi21News: ????? #?????.. #??????? ???? ??????? ?? ???????? ?????????? ?????? ??????: https://t.co/W1Qu8hr2zy  https://t.co/WteOLOG…
7.85568E+17,???????,negative,??????? ???? ?? ????? ???? ??????? ??????????https://t.co/11NbDYKsNq ??? ???? ?? 10 ?????? /???/ ????? ????? ???????? ?????????? ?? ??…
7.85568E+17,???????,negative,RT @QatarNewsAgency: ?????? | ??????? ???? ?? ????? ???? ??????? ?????????? https://t.co/jXAGxHvgLl https://t.co/IQjCIyHOy1
7.85571E+17,???????,negative,??????? ???? ???? ????? ??? ????? ??????? https://t.co/Y6iz1bktIK https://t.co/G9ZMDA69iY
7.85574E+17,???????,negative,?????.. ???? ??????: ????? ?????? ??????? ?????? ???? ??? ??????? https://t.co/4kvLgRqwyU
7.85576E+17,???????,negative,#???: ?????? ????? ????? ?????? ??????? ????????? ?? ??????https://t.co/g4Gsyt8XOt https://t.co/0XmU7QjjIQ
7.85577E+17,???????,negative,"?? ??? ???????"".. ??????? ???? ????? ???? ???? ???? https://t.co/k32IL2dKVx"""
7.85629E+17,???????,negative,?? ???? ???? «?????».. ??????? ????? ?? ???? ??? ?? ?????? https://t.co/iK664pj9FU
7.8591E+17,???????,negative,??????? ???? ??????? ?????????? .. ???????https://t.co/XK1E6ke8Js#????? #??????? https://t.co/ICvI81Fins
7.85919E+17,???????,negative,“??????”: “??????? ???? ????? ???????? ????? ??? ?????.. ????? ?????? ?? ?????” https://t.co/idgccBQZ2Q
7.85925E+17,???????,positive,RT @almasdarnews: ????? ?????? ?? ??????? ?????? ?? ???? ??? https://t.co/OebETmBRPK @shivif1 https://t.co/jx5nbTjvPW
7.85926E+17,???????,negative,??? ???? ?? ????? ???????? ??????? ???????? ???????? ?? ???? ????? ??? ?#??????? ? ?#????????? ??? ??? : ?https://t.co/9H5dMOl7Z9?
7.85934E+17,???????,negative,????? : ?????? ?? ????? ????? ???? ??????? ?? ?????? https://t.co/GEnZJhX9co
7.85945E+17,???????,negative,?????? ????? – ???? ????? ??????? ???? ??????: ??????? ???? “????” https://t.co/1uyGI6RuIQ https://t.co/SGmZJeToWs
7.85952E+17,???????,negative,"RT @RTarabic: ???? #???? ????? ?????? ???????"" #??????????https://t.co/xMnV7nC07k https://t.co/Ts6QbQs49R"""
7.85953E+17,???????,negative,"#???????? ??#???????"":????? ?? ?????? ?????? ?? #??? ??????? ?? ????? ?? #???????#????????… https://t.co/q3Eq89iSeB"""
7.85953E+17,???????,positive,RT @GonenYonatan: #??????? ????? ??????? ?????? ???????? ?????? - ????? ??? ???? ????????https://t.co/j7P7mERCil https://t.co/DnXNpm3Dv1
7.85964E+17,???????,negative,?????? ?????? ???? ??????? ?? ?????? https://t.co/adUmqWEAtP
7.85973E+17,???????,negative,"RT @waiel65: ????? ??? ?????? ???? ?????? ???? ??????.. ????? ??? ????? ????? ??? ?? ???? ????? ?? ?????? ??????????? ???... https://t.co/j…"
7.85974E+17,???????,negative,?????? ?????? ????? ?? ???? ??????? https://t.co/494kO87V8K
7.84865E+17,?????,negative,RT @faredonshamshi1: ?????? ?????? ???????? ???? ????? #??????_?????_?????_??????? ???? #??????_????_??????? ?? #?????.#?????_?????? https:…
7.84865E+17,?????,negative,RT @faredonshamshi1: #????.????????? ?????? ??????? ?????? ???? ?? ????? #?????.#????????_????????? #1988Massacre https://t.co/QKzJjo6GDL h…
7.84867E+17,?????,negative,RT @EHSANFAKEEH: ????? ???? ???? ?? ????? ??????? ?????? ?? #??????????? ?? ??? ???? ???? ????? ?? ??? ?????? ?? ??? ????? ????????????https…
7.84867E+17,?????,negative,RT @MouhamedSaber: ????.. ???? ????? ?????? ???? ???? ?????? ???? ??????? https://t.co/tcfZzpttgn
7.84867E+17,?????,negative,"RT @MouhamedSaber: ????.. ????? ???? ???????? ?????????"" ??? ????? ??????? ??""???? ??????"" https://t.co/hLDCr67C1N"""
7.84868E+17,?????,negative,RT @MouhamedSaber: ?????? ????????: ????? ???? ?????? ????????? ??? ?????? https://t.co/W2aZ6qDu3B
7.84883E+17,?????,negative,RT @mihanziba20152: #?????.. ????? ?????? ?? ??? «????????» ?? ????? ??? ????.#??????? #????????_????_??????? https://t.co/iXSmE1G4EC https…
7.84883E+17,?????,negative,RT @MouhamedSaber: ??????? ??????? ?? ????? ????????? ????? ????? ??????? https://t.co/MsvYWMFDHD
7.84884E+17,?????,negative,RT @TustarNet: ??????: ??? ??????? ?????? ????? ????????? ?? ??? -... https://t.co/mPqMe8YNZj
7.84891E+17,?????,negative,RT @bobmechanic: ???? ????: ??????? ????? ?? ????? ????? ?????.. ??????? ??????????? ??? «??? ????» @aawsat_News https://t.co/eYhOZlsBsa
7.84897E+17,?????,negative,RT @TheBaghdadPost: ?????.. ???? ???????: ??????? #????? ??????.. ????? ?? ?????? #??????#?????_???? #??????https://t.co/AFuNdxDR7Y https…
7.84898E+17,?????,positive,RT @RTarabic: #?????? ???? ???????? ??????? ?? #?????https://t.co/YTxtvP4tAU#????_????
7.85223E+17,?????,negative,"RT @IranObs_ar: #??????_????????#??????? | ???????? ????? ???? ????? ????? ?? ????? ??????? ????????????? ????""https://t.co/vfHz4eMTDo"""
7.85223E+17,?????,negative,"RT @IranObs_ar: #??????_????????#??????? | ???? ??????? ?????? ???????? ?? ????? ??? ????????? ????""https://t.co/to78grq7eo"""
7.85223E+17,?????,negative,"RT @IranObs_ar: #??????_????????#??????? | ??????? ??????? ???? 11 ????? ???? ???????????? ????""https://t.co/ftu4FrVESh"""
7.85223E+17,?????,negative,"RT @IranObs_ar: #??????_????????#??????? | ????? ???? ????? ????? ????????? ?? ????? ??????????? ????""https://t.co/p2cP8mw5Fd"""
7.85224E+17,?????,positive,"RT @IranObs_ar: #??????_????????#?????? | ????? ???? ??? ??? ???????? ??? ???? ???????????? ????""https://t.co/xuMq6LjBeX"""
7.85224E+17,?????,negative,"RT @IranObs_ar: #??????_????????#??????? | ????? ?????? ???? ???? ?????? ?? ?????????? ????""https://t.co/WigtBAv9b0"""
7.85224E+17,?????,negative,"RT @IranObs_ar: #??????_????????#?????? | ??? 40 ??? ???? ?? ????? ???? ????? ??????? ??????????? ????""https://t.co/w2oA7GWeXI"""
