,tweet,sarcasm,sentiment,dialect
44,يعني اساس حلف الناتو والسعوديه وتركيا وقطر كنتوا اساسن حسنتوا تسيطروا مخفر,False,NEG,gulf
45,الاهليضمكدوووريالمحترررفيناذا اراد احدكم الكلام فعليه يفكر كلامه ظهرت المصلحه تكلم شك يتكلم حتي تظهرZIMMd,False,NEU,levant
46,كارثه يرتكبها يقول المولدالنبوي بدعهالاسلام اهلالسنه الازهر المولدالشريف الدعوهالنجديه,False,NEG,msa
47,الله يرحمه ويعفو عنهكان حزب الخونهاللهم تجاوز واغفر وامسح ذنوبه يارب,False,NEG,msa
48,اللهم انصر اخواننا حلب وارحم المستضعفين منهم واجعل تدبير اعداءهم تدميرهم وعجل لنا بنصرهم يارحيم,False,POS,msa
49,قلبي رجل M❤️ يلغي رجال,False,POS,msa
50,مبارياتالخميس 15 ديسمبرريالمدريدكلوبامريكاالشبابالاتفاقالباطنالفيصليالجيشالغرافهجنويفيورنتينا,False,NEU,msa
51,اتفاق بملياري الصين مصر لتبادل العملات Eurasia Diary с помощью egypt china economy,False,NEU,msa
52,هجومهما الهمجي حلب البيت الابيض يحذر الاسد روسياسوريا واشنطن روسياتحرقحلب تدميرالمشافي,False,NEG,levant
53,اقلها اليمن مستقره نوعا حلب فكم دوله تحارب سوريا زال السوريين يدافعون بلادهم اللتي تدمرت روسيا,False,NEG,msa
54,الله ياخذ جاك هالجوده زين,False,NEG,msa
55,نتحمل مسءوليه الحفاظ الرساءل تنسيقها بحيث الوصول صاحب الرساله,False,NEU,msa
56,ممثل الجمهوريه العربيه السوريه يسترجع نزار قباني وذكرياته المدرسه syria,False,POS,msa
57,بنعتذر لحضرتك يا فندم التاخير سيتم اقلاع الرحله تمام الساعه 1800 UTC رقم 1800 800 بنتمنالك رحله سعيده,False,POS,egypt
58,صرت موا 🙈,False,POS,msa
59,انتخبواالعرص بقت مكتوبه شوارع مصر,True,NEG,egypt
60,هاري بوتر يعود جديد 🐥😂😂😂,False,NEU,egypt
61,جبير ايه دا وزير الشءون الخارجيه القطري عندنا بس عشان اجتماع الجامعه العربيه,False,NEU,msa
62,يوسف الحسيني يسب السعوديه لقطعها المساعدات سيسي يا شحاتين ياارهابيين احنا يا اديناكم رز ومحدش حماكم غيرنا,True,NEG,gulf
63,شاهد كشفت روسيا اطلاق صواريخ باليستيه اسراءيليه وامريكيه سوريا via,False,NEU,msa
64,عبدوا كاسترو العرب يعبدون الولي السفيه بوتن,True,NEG,msa
65,نشطتها مال هاري بوتر احس 😂,False,NEU,gulf
66,مررررررزوووقفاااااااالحالحححححبييييينيالوليt6c,False,POS,msa
67,كلناااالدلمانيتدريجيا بدات افقد القدره انشاء صداقات وفتح حوارات طويله شيء يحتاج بدايهJzoX,False,POS,msa
68,الحين العيناويه مابيسكتون تري الوحده ناقص 8 لاعبين واجانب محد ويلعبون بالصغار واضح,False,NEG,msa
69,هههههه شخص برمضان اذكر كتبت نصيحه وسوا ريتويت لكلامي وخله اللي عنده يهاجموني واتفاجء بوجوده معاي بمااده سخريه القدر,True,NEG,msa
70,يارب يعد للقلب متسع لمزيد الحزن,False,NEG,msa
71,امين الجامعه العربيه يبحث مبعوث اممي تطورات الاوضاع بالاراضي الفلسطينيه المحتله,False,NEU,msa
72,الحقيقه اللي مش عايزين يفهموها النقد مكنش بالطريقه النضيفه دي هيبقي شتايم وقله ادب وهيزعلوا بجد باسميوسف,True,NEG,msa
73,نوفاك قبله نادال قبلهم فيدرر الافضل الاطلاق,False,POS,msa
74,اليومالعالميللغهالعربيه يفترض وكل ساعه لغه القران نتلوه يوميا لغه التعليم المدرسي لغه العبادات لغه امه الخير,False,POS,msa
75,يا رب,False,POS,msa
76,ليبيا عاجل اشتباكات مسلحه بالقرب فندق ريكسوس بالعاصمه طرابلس,False,NEU,msa
77,منع حازم عبد العظيم والسيد البدوي اكبر انصار الانقلاب العسكري السفر يمثل تطبيقا لمبدا صاحب الحمير اضرب المربوط يخاف الساءر,True,NEG,msa
78,زمان كنت اغرد السياسه وقالوا قديما السياسه نجاسه الحمد لله اني تطهرت النجاسه معكمادهم مصر التحرير مرسيرءيسي السيسي,False,NEG,egypt
79,اللهم انتقم منالذين طغوا البلادوارحمالذين اخرجوا ديارهم بغير حقحلبالمنكوبه,False,NEG,msa
80,ماذالوالمدارسمختلطهعزيزي المعلم لاتتهاون برصد ومحاسبه الطالب شي مخالف للواءح السلوك والمواظبهتطبيقها يجعل البيءه المدرسه👍👍👍,False,POS,egypt
81,كلما شاهدت طاوله الشطرنج الجميله تزين غرفه اجتماعاتك بيت الوسط اتحمس اشاطرك المباراه الوديه يا شيخ انا مبتدءه,False,POS,msa
82,خطاب بوب ديلان حفل نوبل لماح خاصه علاقه شكسبير بالادب واللي خلاني افتكر كلام تولستوي السينما,False,NEU,egypt
83,الجزيرهنت وتبقيماذنالقدس تصدح بالاذان اسراءيل القدس,False,NEU,msa
84,حدثت عهد ابن همام ٢٠١١وبحث بسيط عبر غوغل ستجد الكثير والكثير,False,NEU,msa
85,هيجو اصير وزيره الصحه اشنق عديله بباب المعظم يم البوكي ستوب حتي يدور بوكيمون يشوف عديله ويجوز اللعبه,True,NEU,egypt
86,رسول الله ﷺايما عبد ابق برءت الذمه رياض الصالحين ريالمدريد,False,NEU,msa
87,العرص نيويورك,False,NEG,egypt
88,احصل دوره تدريبيه مجانيه مجال الصحافه فيسبوك مساعي شركه فيسبوك المستخدمين,False,NEU,egypt
89,اوبر بالقصيمبريده,False,NEU,msa
90,Retweeted الخارجيه الامريكيه كيري اطالب الاطراف بالالتزام بوقف الاعمال العداءيه سيسمح,False,NEU,msa
91,اللحيهالبيضاءونبيسلوفي رحم الوايت بيرد 😂😂😂💔,False,NEU,msa
92,انسان ايا انسان اجهلك اتفهك الكون وما اضالك شمس وقمر وسدوم وملايين نجوم وفاكرها يا موهوم مخلوقه لك عجبي صلاحجاهين,True,NEG,egypt
93,تلعب لعبه ماريو مخصصه لاجهزه ايفون عبر SuperMarioRun,False,NEU,msa
94,محافظالقاهره ازاله العقارات المخالفه بالقرب المحكمهالدستوريه لحمايه المواطنين,False,POS,msa
95,رامي عياش عملي لايك اغنيته 😍🙌,False,POS,egypt
96,الرياض حي الواحهتقاطع شارع رفحاء طريق ابوبكر الصديقموقعنا عبر خراءط جوجل,False,NEU,egypt
97,انت الناس اللي تءيد تسكت ظلم فشل سواء فترات مبارك المجلسالعسكري مرسي السيسي قول,False,NEU,msa
98,الهجوم المتوقع كرداسه متي يتوقفون قتل الاحرار الانقلاب يمارس ويزرع الارهاب,False,NEG,msa
99,جمال الليل نظره عيونك ونور البدر مرسوم بجفونكوكل الكون يسوي يا نادين بدونك😘😘😍😍الله يحميكي ندووون,False,POS,msa
100,عندي ثقه فيك,False,POS,msa
101,وزير الخارجيه المصري يصل مقر الجامعه العربيه ويليه وزير الخارجيه الفلسطيني ليبدا اجتماع اللجنه العربيه المعنيه بانهاء الاحتلال الاسراءيلي,False,NEU,msa
102,اشرايج جز انييبه بس عشان يغني ٩٩ مشكله يغني بيونسيه,True,NEG,gulf
103,ديلي ميل ترامب سينقل السفاره الامريكيه تل ابيب القدس,False,NEU,msa
104,ثار سيدبلال وغيره سيلاحققك ايها الافاق برهامي شيوخالسلاطين تجاردين,True,NEG,msa
105,تشكلت صوره السعودي الاعلام الغربي وما الدور يءديه مرتزقه الاعلامتتبع المال يكشف حقيقه المساعي فضيحهتركيالدخيل,True,NEG,msa
106,التحكم المروري حركه المرور كثيفه اوتوستراد زوق مكايل باتجاه مفرق غزير وصولا كازينو لبنان عواءق,False,NEU,msa
107,تظاهرات احوازيه ايران لمصادرتها اراضي جديده بالجنوب,False,NEU,msa
108,الطبرسي يطابق المفيد نفي وجود المحسنالصرخييغردولايهالفقيهولايهالطاغوتحادثهالداراثارهعواطفوجهل,True,NEG,msa
109,استمرار ماساه غرق شبابنا محاولات ياءسه سعيا وراء لقمه العيشما اسبقياتنا واين اهداف الثوره عيشحريهكرامه انسانيه,False,NEG,msa
110,الجيزه مصرمشتكيه الفاعليه الثالثه لاحرار اكتوبر سنترال الحي السادس,True,NEU,egypt
111,دوت مصر كامل الوزير «عمرواديب» الرءيس امر بانهاء انشاءات محطه اسوان التفاصيل عبر نبض,False,NEU,egypt
112,استمر مرسي سياسه العناد الفاشله سيكون الفرق الوحيد بينه المخلوع مبارك يحب يقضي اجازته شرم الشيخ الاقل حتي,True,NEG,egypt
113,30 غاره جويه الطيران الروسي عده احياء مدينه حلب وسقوط 30 شهيدا 60 جريحا ومازال الدفاع المدني يعمل,False,NEU,egypt
114,خليفتنا اردوغان رضي الله ينام الهواء كلمه بوتين مءتمر مشترك باسطنبول وخبيريءكد فخامته مرهق شده العمل,False,NEG,msa
115,اعلان غوغل GoogleMaps دليلك لحرب المناطق والشوارع والاحياء ليبيا,False,NEG,levant
116,ارسل المغني بوب ديلان الفاءز بجاءزه نوبل للادب رساله يشكر الاكاديميه السويديه وصف المنح بانه شرف يضاهي الوقوف القمر,False,NEU,msa
117,القبض المتحدث حزب الحريهوالعداله محمدع,False,NEU,msa
118,مسرحيه سيد قطب مسرحيه صدام الاعلام الغربي باشكاله يريد تثبيت صوره متلبسين الاسلام بصوره المخلص فلا تكن فريسه للغرب,False,NEG,msa
119,اعجبني فيديو ادمان لعبه بوكيمون قو Addicted to Pokemon Go,False,NEU,msa
120,لبنان اخوه لاجءين فلسطينيين يكن وزيرا لشءونهملكن الاخوه النازحين السوريين حظهم الحكومه نارنخترعوزارهلوزير,True,NEG,levant
121,اليمنيه الناتو واثق حفاظ ترامب قياده الولاياتالمتحده للحلف,False,NEU,msa
122,الولاياتالمتحده احتجاز صحفي كندي يتجه لموقع الاحتجاجات مد خط البترول نورث الولايات المتحدهداكوتا لمده6 ساعات يثير المخ,False,NEU,msa
123,اللهم بالظالمين لافروف,False,NEU,msa
124,تدهور الحاله الصحيه لعاءلات شهداء وجرحي الثوره المضربين الطعام,False,NEG,msa
125,يبا يشوف MannequinChallenge الصدقي يشوفني اكون وسط ناس مادانيهم🙂🙃💐💐💐,False,NEU,levant
126,عمرواديب اردوغان بيصوت تركيا بتسف التراب الاسبوع ده هههههههههههههه حرقاك يا اقرع,True,NEG,egypt
127,ﻭﻓﺄﻯ ﻣﻜﺎﻥ ﻭ ﻓﺄﻯ ﺯﻣﺎﻥ ﺑﻘﻮﻟﻬﺎ ﻟﻴﻚ ﻭ ﺑﺎﻋﻠﻰ ﺻﻮﺕ ﻏﻴﺮﻙ ﻣﻠﻴﺶ ﻋﺸﺎﻥ ﺍﻋﻴﺶ ﺍﻻﻫﻠﻰ قلبي ﻟﺤﺪ اموووووت,False,POS,egypt
128,مدفن القاهره للعداله يحدث مطار القاهره الشرطه تمنع اواءل الحقوق وترحب وتفسح للمتاخرين الفاشلين,True,NEG,msa
129,شاطره تفهمها تروح للشيخ غوغل يترجمها باهبل هيك 😂😂😂😂,True,NEU,egypt
130,باﻷحضان يا غاليه الجونه,False,POS,egypt
131,قايل لجراح الهبيده انك حلو والله يا معطي وضعيه جستن بيبر بسنابه 😂,True,NEG,gulf
132,طبت طيب اوردوغان والله ينفع الاوغاد الايرانيين الروس السوريين التهديدبالقصف الجوي والارضي اعتدوا النازحين السوريين,False,POS,msa
133,مباشرمنرابعهستبقيحلبشاهد طفل سوري يلقي قصيده مءثره يبكي فليذكر التاريخ اعداد الصواريخ تقتل,False,NEG,msa
134,لاتساليني ليييش رجمي نزلتذيب الخلا لاجااااع رجمه نزلعن الغزل وسماان الافكار اعتزلتكل شي عيني غبتي هزل,False,NEG,gulf
135,موسكو استءناف المفاوضات السوريه كازاخستان امر واقعي,False,NEU,msa
136,طريقه تعطيل محرك البحث بينج ويندوز 10,False,NEU,msa
137,جيش السيسي يهدم بيوتنا لاقامه منطقه عازله سيناء وغزه اين اقنيه التصهين ورواري العربيه يلطم منتهاه,True,NEG,msa
138,شاء الله متخذين كامل الاجراءات الصحيه اخر شي النطره عباره لعبه الكراسي,False,NEU,levant
139,مصر الاخبار اغذيه ملوثهاكل لحوم الحميراعتقالات قسريهقتل بلا محاكمهحرب الاسلامتحالف سفاحي حلبطعن ظهر,True,NEG,egypt
140,جريدهالميدان الناتوالناتو ضباط اتراك طلبوا اللجوء وعدم العوده انقره,False,NEU,msa
141,ابتسم وجه الناس فانها صدقه,False,POS,msa
142,عالم الكره الصفراء يتيما حتي جاء فيدرر اخرج جمال الرياضه للعالم,False,POS,msa
143,نوال الزغبي شو بتعملي,False,NEU,levant
144,ديميتروف الحد 😐استطاع التغلب علينادالجوكوفيتشمورايفافرينكالكن يستطع التغلب علمه السحرروووووجير,True,NEU,msa
145,احتفالات الدون طريقه MannequinChallenge,False,NEU,egypt
146,اللي يجتاح اليمين المتطرف اوروبا وترامب امريكا والعالم يتم تعيين ملحد يبت امور المسلمين اوللادينيبمجلسالشوري,True,NEG,levant
147,النظام الصحي الامريكي يحرم 13 امريكي العلاج,False,NEU,msa
148,نجوم مصريه تاريخ مباراه السعوديه واليابان القادمه تصفيات كاس العالم,False,NEU,msa
149,طيران العدوان يشن سلسله غارات محافظات الجمهوريه اليمن نجران,False,NEU,msa
150,شي بيرفكتتت حرفيا,False,POS,egypt
151,ايمن يونس يءكدالزمالك يشارك دوره قطر لموقفها مصر حكومتك يا كابشن بتتفاوض قطر عشان تشحت غاز,False,NEG,egypt
152,ثلوج متوقعه المناطق الشماليه والجوف فجر الثلاثاء طقسالعرب,False,NEU,msa
153,ريكي مارتن حريم العالم كلها اللي قدامو اختار يخطب دا اصول عربيه وانا اللي كنت فاكرك نينجا 😂 طلعت,True,NEG,egypt
154,باسمطلعحرامي عاشقمصر,True,NEG,egypt
155,اطمنوا ايها النبلاء تعز بخير روايح جثث الحوثي والمخلوع ازعجت الساكنين حتي الكلاب ترفض لحومهم النجسه🔴التكبير جبل هان اليمن,True,NEG,msa
156,اليمنيه تعيين عبدالواحدالدعام عضوا مجلس الشوري,False,NEU,msa
157,ديوان الوقف السني يقيم احتفاليه بمناسبه ذكري المولد النبوي الشريف مخيم حي الجامعه للنازحين,False,NEU,msa
158,روسيا الصين تستخدمان حق الفيتو وتفشلان هدنه حلب سورياتمدن,False,NEU,msa
159,لغه السي لبرمجه الحاسوب ماكان كومبيوترات اساسا مات مكتشف اللغه العظيمه طق خبر,False,NEG,msa
160,يونجون بكييت لاا,False,NEU,msa
161,اليمنيه 18 شهيدا و27 مصابا خروقاتالانقلابيين بتعز 24 ساعه,False,NEU,msa
162,لاول مره 13 روجر فيدرر رافا نادال خارج المراكز الاربعه الاولي تصنيف الاتحاد العالمي للتنس,False,NEU,msa
163,ياروافض بلا كلام والا اخرج♦️♦️العراق بغداد البصره كربلاء النجف لبنان البحرين الكويت قطر سوريا عمان الاردن ht,True,NEG,msa
164,سيدناالنبي طيب الراءحه واذا صافحه بيده عطره ساءر صلي الله يا سيدي يا رسول الله,False,POS,msa
165,الله نزع ملكم لغدركم السيسي الله اذهب حكمكم لعدم اخلاصكم الله استبدلكم لانكم خنتم الامانه ووليتم,False,NEG,msa
166,تويتر تنزف دولارات ببورصه نيويورك انباء تراجع جوجل «الاستحواذ»,False,NEG,msa
167,ليه مستكترين الست تنفيطيب شكرا ليها نفت كلام طاءفي زي دهولازم يتم عمل تحقيقات قضاءيه لاثبات وجود قرصنه ولو طلع كدب ساعتها تتحاسب,False,NEU,egypt
168,تحقيق اعلي دخل اوبر,False,NEU,egypt
169,بوتين ودعم اليمين المتطرف العالم,False,NEU,msa
170,وكيل رمضان صبحي يصف اللاعب بالاستثناءي ويوضح الفرق بينه صلاح,False,NEU,msa
171,هدف الباراغواي رجعنا لنغمه ميسي احب اذكركم ميسي مالعب قدام تشيليفي دور المجموعات بالكوبا وفازت الارجنتينولعب النهاءي,False,NEU,egypt
172,الحسين رضي الله سابق عصره ويستخدم غوغل مابس,False,NEU,msa
173,طبعا هذول خرفان شهرهيعني تلاقيه يلعب بوكيمونيتكلم طلاق براد بيت وانجلينايعني مواكبين الاحداث التافه 💦,True,NEG,magreb
174,ريكيمارتن يعلن خطوبته فنان سوري الموجز via منوعات,False,NEU,msa
175,اوباما يندد بتصريحات ترامب المهينه والمخزيه بحق النساء ندد الرءيس الاميركي باراك اوباما الاحد بالتصريحات,False,NEU,msa
176,سءال يحتاج جوابمصر تغلق مسجد الحسين الرافضه لاحياء عاشوراءتركيا واردوغان تسمح للرافضه باحياء عاشوراء,False,NEU,msa
177,صدر اليسا وجه رءي الصبان شعر رشاقه ميريام فارس مكوه روبيو عيون زينب ذيك المغربيه الصوت نوال الكويتيه وبس والله,False,NEU,levant
178,الجهﻻء الشعب المصري فضحونا مناطق العالم بالهاش تاج المسي نعمه التحضر سانتخبالسيسيومشهنزللمستواك,True,NEG,msa
179,اشار وشي فانما يشي بانه مفيش قيمه وطنيه موجوده التنظيم ابناء التنظيم,False,NEG,egypt
180,ساعه ابل لهواتف سامسونج اجهزه يمنع السياسيون استخدمها لاجراءات امنيه البحرين الكويت السعوديه الامارات,False,NEU,msa
181,الولاياتالمتحده ترامب يتخلي اعماله التجاريه للتركيز العمل السياسي,False,NEU,msa
182,اذكر اسم صفه لخاتم النبيين ﷺ القران الكريم ممكن ارسال اسمبمنشن مختلف٣ ايفون 7 بالقرعهريتويت فض,False,NEU,msa
183,المهاجر ابوحمزه الشيعي العراقي🔴من قلب محروق يهاجم حكومه اللصوص واصحاب العماءم عصابات العراق بغداد البصره كربلاء النجف,True,NEG,msa
184,تفعيل الوضع الليلي iOS ايفون٧ via,False,NEU,msa
185,يا حلب انتي عنوان الصمودباذن ربي تسقطين ٰرغم حلف الروافض واليهودرغم بوتن بشار اللعين,False,POS,msa
186,البرلمان الاحتلال ينصب عشرات الحواجز العسكريه القدس المحتله,False,NEU,msa
187,السيسي يصف الاسلام بالارهاب المتطرف ويدعوا لمحاربته مظله الارهاب وذلك قناه CNN ليرضي اعداء الاسلام خيانه عظمي مصر,True,NEG,msa
188,قوقل يتعاطون زقمسوين حمله للتحسين ترجمه قوقل عشان النازحين السوريينوهنا حاطينه رءيس سوريا,False,POS,msa
189,بشار الاسد يرفع رسوم الاقامه سوريا,False,NEG,msa
190,تراث باراك اوباما السياسي محمد الرميحي,False,NEU,msa
191,تغلق قناه الفراعين لانها الاكثر كذبا فجورا لانها الاقل احترافيه الكذب والفجور,True,NEG,msa
192,شاهد يسري فوده يامن لمن يوما طز مصر,False,NEU,egypt
193,اقصد منجد تستاهل هالتحفه الفنيه hyltbestdance,False,POS,msa
194,حكايه جايي تحتل المرتبه الاولي عرش الاغنيه العربيه 😍❤برافو امير 👏👏👏عمل بنفتخر 😍😍اميرالليل,False,POS,egypt
195,حوار خاص النجمه ناديننسيبنجيم لمجله ماري كلير العربيه,False,NEU,msa
196,2011 الله ينور يا دكتور ده التفكير اللي عايزينه مش مسجد وكم كنيسه,False,POS,egypt
197,متاخر البدايه الصفر خير السير طريق الجميع يعلم نهايتهمليونيه19ديسمبر,False,NEU,msa
198,ريكي مارتن يظهر بخاتم خطبته الفنان السوري يوسف,False,NEU,msa
199,يالرخيص ٥٠٠ 🤣,False,NEU,msa
200,صور طبيعيه متحركه للسحب ساعات ماضيه سحابالخير عالمالطقس طقسالسعوديه طقسالعرب,False,NEU,msa
201,بالفيديو عكاشه والله هيفاءوهبي مش طريه واللي يتجوزها يبقي خد خازوق بوابهالقاهره مصر توفيقعكاشه,False,NEG,egypt
202,الاخوان اختاروا رضا الامريكان خلاص بانت زمان وده اللي هيعمق خلافهم السلفيين ومش بعيد تلاقيهم بيعايروا السلفيين بعلاقه بعضهم بالامن,False,NEG,egypt
203,شاهد زينه اخر عيد ميلاد لاوباما البيت الابيض اميركا باراكاوباما الولاياتالمتحده اعياد عيد الميلاد,False,POS,msa
204,وش فاءده فلسطين القدس وال المذهب الرافضي والمجوسي هذولا اللي يغررون بكم ويتاجرون بقضيتكم وارض,False,NEG,gulf
205,اليمنيه مجلس الوزراء السعودي ضروره وضع حد للممارسات الميليشيا واعوانهم,False,NEU,msa
206,يعني 4 احزاب اسلاميه تصوت مسوده الدستور 65 عضو رفضوا اللعبه الاصل والاحتياطي,False,NEG,msa
207,اكيد تري تقرير الصندوق الدولي الجزاءر صعود وتيره النمو الجزاءر عكس المغرب غوغل 😉,False,NEU,msa
208,تءيد تقديم الاختبارات النهاءيهوتكون شهر شعبان شهر رمضان نعمرتويتمنشنلامفضلهالتصويت مرتبط بحسا,False,NEU,msa
209,ياسر ابو عمار سياسهفيدين الجزيره غيرت موقفي حزب النور مواقفه المخزيه الرءيس محمدمرسي,False,NEG,egypt
210,بتغنيلها يا بنت الجيران تبع رامي عياش مغروم شكلك لشوشتك 😆😆,False,NEU,levant
211,تقرير غزه شعار انهاء الانقسام المعاهد الازهريه تحيي ذكري المولد النبوي الشريف محمد ابو حطب,False,NEU,msa
212,مجلسالامن يصوت بالاجماع مشروعقرار نشر مراقبيندوليين حلبفرنسا روسيا,False,NEU,msa
213,حمله هيلاري تفجر موضوع تواطء فريق ترامب موسكو جديد,False,NEU,msa
214,رءيس مجلس الوزراء كلي ثقه بحرص الناخبين والناخبات الالتزام بالاشتراطات الصحيه حتي نهايه العمليه الانتخابيه تتم مظاهر الاحتفال عبر الاتصال التجمع,False,POS,msa
215,حق شهداءنا يضيع منظم نظامنا القضاءي عاجز القصاص والجهات التشريعيه والتنفيذيه تدعمه ومحاسبه قصر جمع الادله ضروره,False,NEG,msa
216,قوانين مرحله انتخابيه اهم مره المرحله نفسها بمرشحينها وكل المراحل اللي الثوره اتلعب اساس قوانينها لتدبير النتيجه باطل,False,NEG,egypt
217,امكانيه تقربون المذيع والمذيعه بالاخبار مرره بعيدين يشتت الانتباه,True,NEG,gulf
218,نفعله التفكير بالمشاعر نخفيها جستن بيبر,False,NEU,msa
219,دفع ايهام الاضطراب ايات الكتابويليه منع جواز المجازللشيخ العلامه الشنقيطيمعرضالكويتالدوليللكتابالسعر,False,NEU,msa
220,تسكتوا صوت الاذان الله اكبر ☝❤فلسطين حسبي الله عليكي اسراءيل,False,NEG,msa
221,تبارك الرحمن,False,POS,msa
222,اوبر محظورا الدنمارك,False,NEU,msa
223,اسراءيل تطلق اسم بيريز مفاعلها النووي,False,NEU,msa
224,النداءالاخيرحلبتبادستبقيحلبوتلك الايام نداولها الناسصدق الله العظيماجلاء المدنيين,False,NEG,levant
