,Unnamed: 0,tweet,sarcasm,sentiment,dialect,POS_FREQ,NEG_FREQ,NEU_FREQ
21,21,انا اشفق هيلاري كلنتون فهي مضطره لمناظره خبل نص كلامه مو مفهوم,True,NEG,msa,15,11,59
22,22,دولهالخلافه القوات العراقيه تفكك العبوات الناسفه خلفها داعش بجزيره الرمادي,False,NEU,msa,25,13,81
23,23,ﺣﻤﺪﻳﻦﻋﺎﻭﺯﻳﺤﺎﻛﻢﺍﺳﺪﺍﻟﻌﺮﺏ برضو سانتخبالسيسيومشهنزللمستواك,False,NEG,egypt,18,14,72
24,24,انتخاب مرسي بالقطع سبه ولدي اصدقاء اشك ثوريتهم انتخبوه لكني ببساطه انتخبه وقاطعت الرءيس الشرعي,False,NEU,msa,28,26,163
25,25,خطرفيالقدس يزداد الخطر بزياده الغفله واللامبالاه قضايا القدس واخرها صوت ماذنها يقاوم الاحتلال,False,NEG,msa,31,16,97
26,26,العصابه الوهابيه تحارب جبهه النصره وتركت جيوش المجوس تسرح حلب ههههههه,True,NEG,msa,27,22,125
27,27,هههههههههههههه كمان حكاها بشار الاسد صلي العيد بداريا,True,NEG,levant,11,4,42
28,28,ماجدهواصف اعرف سماالمصري مهرجانالقاهرهالسينماءي يوجه الدعوه مصريات,True,NEG,msa,11,9,41
29,29,⁧الارهابصناعهامريكيهلاسعوديه⁩ ⁧قانونجاستا⁩محمد الملا يتكلم مذكرات هيلاري كلنتون,False,NEG,msa,20,13,65
30,30,كنت اتابع فيدرر بس كرهت نادال طلع,False,NEG,gulf,8,4,39
31,31,شمعه الكترونيه لمستخدمي اجهزه ابل,False,NEU,msa,9,5,34
32,32,حزبالله فيلقالقدسيتحدث فلسطين يقتل العرب ويدمر حلب,False,NEG,levant,26,9,76
33,33,الاعلامي عكاشه اتغيردرجه بقي بيبرر ارتفاع الاسعار المواطن محدود الدخل بكل الوساءل وبقي زي القط الاليف مرتبات الاعلاميين بتعمل كده,True,NEG,msa,49,26,181
34,34,جستن بيبر,False,NEU,msa,4,4,32
35,35,حماس مشعل بعيون اسراءيل,False,NEU,msa,8,5,32
36,36,حواري النجمه الذهبيه نوالالزغبي صفحات جريده الوطن وتصرح اصبحت ناضجه,False,POS,msa,24,18,97
37,37,الانفاق قاتله الجنود والمدرعات حلب جبههالنصره اشترت داعش اسلحه تدمر,False,NEG,msa,22,10,72
38,38,انا انصحك تعدل لغتك العربيه بعدها تدخل الجامعه,False,NEG,egypt,15,4,45
39,39,طول انا بتخانق وبعاتبك يبقا لسه باقيه وبحبك المصيبه بقا بطلت اعمل كدا اعرف انك مبقتش تهمني تفرق معايا,False,NEG,msa,36,31,209
40,40,نادين نسيب نجيم,False,NEU,msa,2,2,21
41,41,اجاني نوتفكيشن حسيت حالي بحساب جستن بيبر يعمي,False,NEU,levant,14,11,79
42,42,اللهم نصرت عبدك موسي فانصر عبادك العراق سوريا اليمن نصرا عاجلا نسالك تحمي وطننا وجنودن,False,POS,msa,22,19,102
43,43,محد صاح,False,NEU,msa,2,0,1
44,44,يعني اساس حلف الناتو والسعوديه وتركيا وقطر كنتوا اساسن حسنتوا تسيطروا مخفر,False,NEG,gulf,16,24,91
45,45,الاهليضمكدوووريالمحترررفيناذا اراد احدكم الكلام فعليه يفكر كلامه ظهرت المصلحه تكلم شك يتكلم حتي تظهر,False,NEU,levant,29,9,55
46,46,كارثه يرتكبها يقول المولدالنبوي بدعهالاسلام اهلالسنه الازهر المولدالشريف الدعوهالنجديه,False,NEG,msa,39,21,129
47,47,الله يرحمه ويعفو عنهكان حزب الخونهاللهم تجاوز واغفر وامسح ذنوبه يارب,False,NEG,msa,26,27,123
48,48,اللهم انصر اخواننا حلب وارحم المستضعفين منهم واجعل تدبير اعداءهم تدميرهم وعجل لنا بنصرهم يارحيم,False,POS,msa,27,18,107
49,49,قلبي رجل❤️ يلغي رجال,False,POS,msa,27,2,29
50,50,مبارياتالخميس ديسمبرريالمدريدكلوبامريكاالشبابالاتفاقالباطنالفيصليالجيشالغرافهجنويفيورنتينا,False,NEU,msa,35,21,148
51,51,اتفاق بملياري الصين مصر لتبادل العملات с помощью,False,NEU,msa,16,4,45
52,52,هجومهما الهمجي حلب البيت الابيض يحذر الاسد روسياسوريا واشنطن روسياتحرقحلب تدميرالمشافي,False,NEG,levant,31,23,130
53,53,اقلها اليمن مستقره نوعا حلب فكم دوله تحارب سوريا زال السوريين يدافعون بلادهم اللتي تدمرت روسيا,False,NEG,msa,32,24,129
54,54,الله ياخذ جاك هالجوده زين,False,NEG,msa,7,3,17
55,55,نتحمل مسءوليه الحفاظ الرساءل تنسيقها بحيث الوصول صاحب الرساله,False,NEU,msa,29,13,81
56,56,ممثل الجمهوريه العربيه السوريه يسترجع نزار قباني وذكرياته المدرسه,False,POS,msa,17,13,73
57,57,بنعتذر لحضرتك يا فندم التاخير سيتم اقلاع الرحله تمام الساعه رقم بنتمنالك رحله سعيده,False,POS,egypt,23,4,56
58,58,صرت موا,False,POS,msa,1,3,9
59,59,انتخبواالعرص بقت مكتوبه شوارع مصر,True,NEG,egypt,11,15,76
60,60,هاري بوتر يعود جديد,False,NEU,egypt,4,8,36
61,61,جبير ايه دا وزير الشءون الخارجيه القطري عندنا بس عشان اجتماع الجامعه العربيه,False,NEU,msa,18,12,82
62,62,يوسف الحسيني يسب السعوديه لقطعها المساعدات سيسي يا شحاتين ياارهابيين احنا يا اديناكم رز ومحدش حماكم غيرنا,True,NEG,gulf,20,13,84
63,63,شاهد كشفت روسيا اطلاق صواريخ باليستيه اسراءيليه وامريكيه سوريا,False,NEU,msa,12,14,64
64,64,عبدوا كاسترو العرب يعبدون الولي السفيه بوتن,True,NEG,msa,21,23,119
65,65,نشطتها مال هاري بوتر احس,False,NEU,gulf,6,5,29
66,66,مررررررزوووقفاااااااالحالحححححبييييينيالولي,False,POS,msa,20,14,60
67,67,كلناااالدلمانيتدريجيا بدات افقد القدره انشاء صداقات وفتح حوارات طويله شيء يحتاج بدايه,False,POS,msa,20,13,79
68,68,الحين العيناويه مابيسكتون تري الوحده ناقص لاعبين واجانب محد ويلعبون بالصغار واضح,False,NEG,msa,33,31,161
69,69,هههههه شخص برمضان اذكر كتبت نصيحه وسوا ريتويت لكلامي وخله اللي عنده يهاجموني واتفاجء بوجوده معاي بمااده سخريه القدر,True,NEG,msa,29,32,156
70,70,يارب يعد للقلب متسع لمزيد الحزن,False,NEG,msa,15,4,44
71,71,امين الجامعه العربيه يبحث مبعوث اممي تطورات الاوضاع بالاراضي الفلسطينيه المحتله,False,NEU,msa,29,17,108
72,72,الحقيقه اللي مش عايزين يفهموها النقد مكنش بالطريقه النضيفه دي هيبقي شتايم وقله ادب وهيزعلوا بجد باسميوسف,True,NEG,msa,32,25,150
73,73,نوفاك قبله نادال قبلهم فيدرر الافضل الاطلاق,False,POS,msa,19,7,58
74,74,اليومالعالميللغهالعربيه يفترض وكل ساعه لغه القران نتلوه يوميا لغه التعليم المدرسي لغه العبادات لغه امه الخير,False,POS,msa,44,16,109
75,75,يا رب,False,POS,msa,2,2,15
76,76,ليبيا عاجل اشتباكات مسلحه بالقرب فندق ريكسوس بالعاصمه طرابلس,False,NEU,msa,26,15,118
77,77,منع حازم عبد العظيم والسيد البدوي اكبر انصار الانقلاب العسكري السفر يمثل تطبيقا لمبدا صاحب الحمير اضرب المربوط يخاف الساءر,True,NEG,msa,48,27,198
78,78,زمان كنت اغرد السياسه وقالوا قديما السياسه نجاسه الحمد لله اني تطهرت النجاسه معكمادهم مصر التحرير مرسيرءيسي السيسي,False,NEG,egypt,22,6,55
79,79,اللهم انتقم منالذين طغوا البلادوارحمالذين اخرجوا ديارهم بغير حقحلبالمنكوبه,False,NEG,msa,31,20,119
80,80,ماذالوالمدارسمختلطهعزيزي المعلم لاتتهاون برصد ومحاسبه الطالب شي مخالف للواءح السلوك والمواظبهتطبيقها يجعل البيءه المدرسه,False,POS,egypt,55,33,196
81,81,كلما شاهدت طاوله الشطرنج الجميله تزين غرفه اجتماعاتك بيت الوسط اتحمس اشاطرك المباراه الوديه يا شيخ انا مبتدءه,False,POS,msa,26,15,100
82,82,خطاب بوب ديلان حفل نوبل لماح خاصه علاقه شكسبير بالادب واللي خلاني افتكر كلام تولستوي السينما,False,NEU,egypt,45,29,184
83,83,الجزيرهنت وتبقيماذنالقدس تصدح بالاذان اسراءيل القدس,False,NEU,msa,16,7,58
84,84,حدثت عهد ابن همام ٢٠١١وبحث بسيط عبر غوغل ستجد الكثير والكثير,False,NEU,msa,19,33,110
85,85,هيجو اصير وزيره الصحه اشنق عديله بباب المعظم يم البوكي ستوب حتي يدور بوكيمون يشوف عديله ويجوز اللعبه,True,NEU,egypt,40,44,217
86,86,رسول الله ﷺايما عبد ابق برءت الذمه رياض الصالحين ريالمدريد,False,NEU,msa,31,9,81
87,87,العرص نيويورك,False,NEG,egypt,4,6,21
88,88,احصل دوره تدريبيه مجانيه مجال الصحافه فيسبوك مساعي شركه فيسبوك المستخدمين,False,NEU,egypt,19,15,90
89,89,اوبر بالقصيمبريده,False,NEU,msa,9,9,57
90,90, الخارجيه الامريكيه كيري اطالب الاطراف بالالتزام بوقف الاعمال العداءيه سيسمح,False,NEU,msa,26,9,75
91,91,اللحيهالبيضاءونبيسلوفي رحم الوايت بيرد,False,NEU,msa,21,15,86
92,92,انسان ايا انسان اجهلك اتفهك الكون وما اضالك شمس وقمر وسدوم وملايين نجوم وفاكرها يا موهوم مخلوقه لك عجبي صلاحجاهين,True,NEG,egypt,28,35,143
93,93,تلعب لعبه ماريو مخصصه لاجهزه ايفون عبر,False,NEU,msa,14,12,70
94,94,محافظالقاهره ازاله العقارات المخالفه بالقرب المحكمهالدستوريه لحمايه المواطنين,False,POS,msa,29,10,72
95,95,رامي عياش عملي لايك اغنيته,False,POS,egypt,4,0,6
96,96,الرياض حي الواحهتقاطع شارع رفحاء طريق ابوبكر الصديقموقعنا عبر خراءط جوجل,False,NEU,egypt,21,18,93
97,97,انت الناس اللي تءيد تسكت ظلم فشل سواء فترات مبارك المجلسالعسكري مرسي السيسي قول,False,NEU,msa,24,8,65
98,98,الهجوم المتوقع كرداسه متي يتوقفون قتل الاحرار الانقلاب يمارس ويزرع الارهاب,False,NEG,msa,24,19,94
99,99,جمال الليل نظره عيونك ونور البدر مرسوم بجفونكوكل الكون يسوي يا نادين بدونكالله يحميكي ندووون,False,POS,msa,37,42,187
100,100,عندي ثقه فيك,False,POS,msa,0,0,2
101,101,وزير الخارجيه المصري يصل مقر الجامعه العربيه ويليه وزير الخارجيه الفلسطيني ليبدا اجتماع اللجنه العربيه المعنيه بانهاء الاحتلال الاسراءيلي,False,NEU,msa,50,17,132
102,102,اشرايج جز انييبه بس عشان يغني ٩٩ مشكله يغني بيونسيه,True,NEG,gulf,9,11,68
103,103,ديلي ميل ترامب سينقل السفاره الامريكيه تل ابيب القدس,False,NEU,msa,20,6,65
104,104,ثار سيدبلال وغيره سيلاحققك ايها الافاق برهامي شيوخالسلاطين تجاردين,True,NEG,msa,19,10,68
105,105,تشكلت صوره السعودي الاعلام الغربي وما الدور يءديه مرتزقه الاعلامتتبع المال يكشف حقيقه المساعي فضيحهتركيالدخيل,True,NEG,msa,36,16,101
106,106,التحكم المروري حركه المرور كثيفه اوتوستراد زوق مكايل باتجاه مفرق غزير وصولا كازينو لبنان عواءق,False,NEU,msa,27,31,128
107,107,تظاهرات احوازيه ايران لمصادرتها اراضي جديده بالجنوب,False,NEU,msa,11,10,58
108,108,الطبرسي يطابق المفيد نفي وجود المحسنالصرخييغردولايهالفقيهولايهالطاغوتحادثهالداراثارهعواطفوجهل,True,NEG,msa,33,25,122
109,109,استمرار ماساه غرق شبابنا محاولات ياءسه سعيا وراء لقمه العيشما اسبقياتنا واين اهداف الثوره عيشحريهكرامه انسانيه,False,NEG,msa,20,18,104
110,110,الجيزه مصرمشتكيه الفاعليه الثالثه لاحرار اكتوبر سنترال الحي السادس,True,NEU,egypt,23,5,48
111,111,دوت مصر كامل الوزير «عمرواديب» الرءيس امر بانهاء انشاءات محطه اسوان التفاصيل عبر نبض,False,NEU,egypt,24,21,126
112,112,استمر مرسي سياسه العناد الفاشله سيكون الفرق الوحيد بينه المخلوع مبارك يحب يقضي اجازته شرم الشيخ الاقل حتي,True,NEG,egypt,32,15,106
113,113, غاره جويه الطيران الروسي عده احياء مدينه حلب وسقوط شهيدا جريحا ومازال الدفاع المدني يعمل,False,NEU,egypt,24,17,85
114,114,خليفتنا اردوغان رضي الله ينام الهواء كلمه بوتين مءتمر مشترك باسطنبول وخبيريءكد فخامته مرهق شده العمل,False,NEG,msa,29,23,133
115,115,اعلان غوغل دليلك لحرب المناطق والشوارع والاحياء ليبيا,False,NEG,levant,28,16,88
116,116,ارسل المغني بوب ديلان الفاءز بجاءزه نوبل للادب رساله يشكر الاكاديميه السويديه وصف المنح بانه شرف يضاهي الوقوف القمر,False,NEU,msa,45,30,185
117,117,القبض المتحدث حزب الحريهوالعداله محمدع,False,NEU,msa,19,7,53
118,118,مسرحيه سيد قطب مسرحيه صدام الاعلام الغربي باشكاله يريد تثبيت صوره متلبسين الاسلام بصوره المخلص فلا تكن فريسه للغرب,False,NEG,msa,42,20,159
119,119,اعجبني فيديو ادمان لعبه بوكيمون قو,False,NEU,msa,12,18,88
120,120,لبنان اخوه لاجءين فلسطينيين يكن وزيرا لشءونهملكن الاخوه النازحين السوريين حظهم الحكومه نارنخترعوزارهلوزير,True,NEG,levant,33,26,123
121,121,اليمنيه الناتو واثق حفاظ ترامب قياده الولاياتالمتحده للحلف,False,NEU,msa,24,11,62
122,122,الولاياتالمتحده احتجاز صحفي كندي يتجه لموقع الاحتجاجات مد خط البترول نورث الولايات المتحدهداكوتا لمده ساعات يثير المخ,False,NEU,msa,37,20,102
123,123,اللهم بالظالمين لافروف,False,NEU,msa,13,5,35
124,124,تدهور الحاله الصحيه لعاءلات شهداء وجرحي الثوره المضربين الطعام,False,NEG,msa,24,11,63
125,125,يبا يشوف الصدقي يشوفني اكون وسط ناس مادانيهم,False,NEU,levant,8,14,63
126,126,عمرواديب اردوغان بيصوت تركيا بتسف التراب الاسبوع ده هههههههههههههه حرقاك يا اقرع,True,NEG,egypt,19,22,121
127,127,ﻭﻓﺄﻯ ﻣﻜﺎﻥ ﻭ ﻓﺄﻯ ﺯﻣﺎﻥ ﺑﻘﻮﻟﻬﺎ ﻟﻴﻚ ﻭ ﺑﺎﻋﻠﻰ ﺻﻮﺕ ﻏﻴﺮﻙ ﻣﻠﻴﺶ ﻋﺸﺎﻥ ﺍﻋﻴﺶ ﺍﻻﻫﻠﻰ قلبي ﻟﺤﺪ اموووووت,False,POS,egypt,26,22,64
128,128,مدفن القاهره للعداله يحدث مطار القاهره الشرطه تمنع اواءل الحقوق وترحب وتفسح للمتاخرين الفاشلين,True,NEG,msa,34,14,85
129,129,شاطره تفهمها تروح للشيخ غوغل يترجمها باهبل هيك,True,NEU,egypt,15,10,58
130,130,باﻷحضان يا غاليه الجونه,False,POS,egypt,8,6,31
131,131,قايل لجراح الهبيده انك حلو والله يا معطي وضعيه جستن بيبر بسنابه,True,NEG,gulf,27,19,121
132,132,طبت طيب اوردوغان والله ينفع الاوغاد الايرانيين الروس السوريين التهديدبالقصف الجوي والارضي اعتدوا النازحين السوريين,False,POS,msa,41,36,176
133,133,مباشرمنرابعهستبقيحلبشاهد طفل سوري يلقي قصيده مءثره يبكي فليذكر التاريخ اعداد الصواريخ تقتل,False,NEG,msa,27,16,116
134,134,لاتساليني ليييش رجمي نزلتذيب الخلا لاجااااع رجمه نزلعن الغزل وسماان الافكار اعتزلتكل شي عيني غبتي هزل,False,NEG,gulf,33,7,77
135,135,موسكو استءناف المفاوضات السوريه كازاخستان امر واقعي,False,NEU,msa,9,15,56
136,136,طريقه تعطيل محرك البحث بينج ويندوز,False,NEU,msa,12,10,55
137,137,جيش السيسي يهدم بيوتنا لاقامه منطقه عازله سيناء وغزه اين اقنيه التصهين ورواري العربيه يلطم منتهاه,True,NEG,msa,20,16,90
138,138,شاء الله متخذين كامل الاجراءات الصحيه اخر شي النطره عباره لعبه الكراسي,False,NEU,levant,21,4,51
139,139,مصر الاخبار اغذيه ملوثهاكل لحوم الحميراعتقالات قسريهقتل بلا محاكمهحرب الاسلامتحالف سفاحي حلبطعن ظهر,True,NEG,egypt,41,14,106
140,140,جريدهالميدان الناتوالناتو ضباط اتراك طلبوا اللجوء وعدم العوده انقره,False,NEU,msa,24,22,107
141,141,ابتسم وجه الناس فانها صدقه,False,POS,msa,5,5,31
142,142,عالم الكره الصفراء يتيما حتي جاء فيدرر اخرج جمال الرياضه للعالم,False,POS,msa,17,0,18
143,143,نوال الزغبي شو بتعملي,False,NEU,levant,12,10,56
144,144,ديميتروف الحداستطاع التغلب علينادالجوكوفيتشمورايفافرينكالكن يستطع التغلب علمه السحرروووووجير,True,NEU,msa,35,31,141
145,145,احتفالات الدون طريقه,False,NEU,egypt,6,3,15
146,146,اللي يجتاح اليمين المتطرف اوروبا وترامب امريكا والعالم يتم تعيين ملحد يبت امور المسلمين اوللادينيبمجلسالشوري,True,NEG,levant,43,29,158
147,147,النظام الصحي الامريكي يحرم امريكي العلاج,False,NEU,msa,12,0,11
148,148,نجوم مصريه تاريخ مباراه السعوديه واليابان القادمه تصفيات كاس العالم,False,NEU,msa,17,13,73
149,149,طيران العدوان يشن سلسله غارات محافظات الجمهوريه اليمن نجران,False,NEU,msa,13,6,38
150,150,شي بيرفكتتت حرفيا,False,POS,egypt,3,2,16
151,151,ايمن يونس يءكدالزمالك يشارك دوره قطر لموقفها مصر حكومتك يا كابشن بتتفاوض قطر عشان تشحت غاز,False,NEG,egypt,17,19,93
152,152,ثلوج متوقعه المناطق الشماليه والجوف فجر الثلاثاء طقسالعرب,False,NEU,msa,22,14,70
153,153,ريكي مارتن حريم العالم كلها اللي قدامو اختار يخطب دا اصول عربيه وانا اللي كنت فاكرك نينجا طلعت,True,NEG,egypt,26,13,82
154,154,باسمطلعحرامي عاشقمصر,True,NEG,egypt,5,2,19
155,155,اطمنوا ايها النبلاء تعز بخير روايح جثث الحوثي والمخلوع ازعجت الساكنين حتي الكلاب ترفض لحومهم النجسهالتكبير جبل هان اليمن,True,NEG,msa,46,28,165
156,156,اليمنيه تعيين عبدالواحدالدعام عضوا مجلس الشوري,False,NEU,msa,16,11,60
157,157,ديوان الوقف السني يقيم احتفاليه بمناسبه ذكري المولد النبوي الشريف مخيم حي الجامعه للنازحين,False,NEU,msa,33,18,112
158,158,روسيا الصين تستخدمان حق الفيتو وتفشلان هدنه حلب سورياتمدن,False,NEU,msa,16,14,71
159,159,لغه السي لبرمجه الحاسوب ماكان كومبيوترات اساسا مات مكتشف اللغه العظيمه طق خبر,False,NEG,msa,26,17,107
160,160,يونجون بكييت لاا,False,NEU,msa,6,8,37
161,161,اليمنيه شهيدا و مصابا خروقاتالانقلابيين بتعز ساعه,False,NEU,msa,14,12,75
162,162,لاول مره روجر فيدرر رافا نادال خارج المراكز الاربعه الاولي تصنيف الاتحاد العالمي للتنس,False,NEU,msa,30,11,73
163,163,ياروافض بلا كلام والا اخرج♦️♦️العراق بغداد البصره كربلاء النجف لبنان البحرين الكويت قطر سوريا عمان الاردن,True,NEG,msa,43,24,159
164,164,سيدناالنبي طيب الراءحه واذا صافحه بيده عطره ساءر صلي الله يا سيدي يا رسول الله,False,POS,msa,26,12,88
165,165,الله نزع ملكم لغدركم السيسي الله اذهب حكمكم لعدم اخلاصكم الله استبدلكم لانكم خنتم الامانه ووليتم,False,NEG,msa,37,10,88
166,166,تويتر تنزف دولارات ببورصه نيويورك انباء تراجع جوجل «الاستحواذ»,False,NEG,msa,21,28,129
167,167,ليه مستكترين الست تنفيطيب شكرا ليها نفت كلام طاءفي زي دهولازم يتم عمل تحقيقات قضاءيه لاثبات وجود قرصنه ولو طلع كدب ساعتها تتحاسب,False,NEU,egypt,33,23,136
168,168,تحقيق اعلي دخل اوبر,False,NEU,egypt,8,5,29
169,169,بوتين ودعم اليمين المتطرف العالم,False,NEU,msa,12,8,44
170,170,وكيل رمضان صبحي يصف اللاعب بالاستثناءي ويوضح الفرق بينه صلاح,False,NEU,msa,26,17,105
171,171,هدف الباراغواي رجعنا لنغمه ميسي احب اذكركم ميسي مالعب قدام تشيليفي دور المجموعات بالكوبا وفازت الارجنتينولعب النهاءي,False,NEU,egypt,37,30,173
172,172,الحسين رضي الله سابق عصره ويستخدم غوغل مابس,False,NEU,msa,15,10,63
173,173,طبعا هذول خرفان شهرهيعني تلاقيه يلعب بوكيمونيتكلم طلاق براد بيت وانجلينايعني مواكبين الاحداث التافه,True,NEG,magreb,34,27,161
174,174,ريكيمارتن يعلن خطوبته فنان سوري الموجز منوعات,False,NEU,msa,10,14,61
175,175,اوباما يندد بتصريحات ترامب المهينه والمخزيه بحق النساء ندد الرءيس الاميركي باراك اوباما الاحد بالتصريحات,False,NEU,msa,35,23,157
176,176,سءال يحتاج جوابمصر تغلق مسجد الحسين الرافضه لاحياء عاشوراءتركيا واردوغان تسمح للرافضه باحياء عاشوراء,False,NEU,msa,28,19,101
177,177,صدر اليسا وجه رءي الصبان شعر رشاقه ميريام فارس مكوه روبيو عيون زينب ذيك المغربيه الصوت نوال الكويتيه وبس والله,False,NEU,levant,36,40,191
178,178,الجهﻻء الشعب المصري فضحونا مناطق العالم بالهاش تاج المسي نعمه التحضر سانتخبالسيسيومشهنزللمستواك,True,NEG,msa,33,17,111
179,179,اشار وشي فانما يشي بانه مفيش قيمه وطنيه موجوده التنظيم ابناء التنظيم,False,NEG,egypt,12,16,81
180,180,ساعه ابل لهواتف سامسونج اجهزه يمنع السياسيون استخدمها لاجراءات امنيه البحرين الكويت السعوديه الامارات,False,NEU,msa,26,19,105
181,181,الولاياتالمتحده ترامب يتخلي اعماله التجاريه للتركيز العمل السياسي,False,NEU,msa,26,5,49
182,182,اذكر اسم صفه لخاتم النبيين ﷺ القران الكريم ممكن ارسال اسمبمنشن مختلف٣ ايفون بالقرعهريتويت فض,False,NEU,msa,33,21,101
183,183,المهاجر ابوحمزه الشيعي العراقيمن قلب محروق يهاجم حكومه اللصوص واصحاب العماءم عصابات العراق بغداد البصره كربلاء النجف,True,NEG,msa,45,29,177
184,184,تفعيل الوضع الليلي ايفون٧,False,NEU,msa,16,11,41
185,185,يا حلب انتي عنوان الصمودباذن ربي تسقطين ٰرغم حلف الروافض واليهودرغم بوتن بشار اللعين,False,POS,msa,32,28,155
186,186,البرلمان الاحتلال ينصب عشرات الحواجز العسكريه القدس المحتله,False,NEU,msa,28,7,65
187,187,السيسي يصف الاسلام بالارهاب المتطرف ويدعوا لمحاربته مظله الارهاب وذلك قناه ليرضي اعداء الاسلام خيانه عظمي مصر,True,NEG,msa,36,17,120
188,188,قوقل يتعاطون زقمسوين حمله للتحسين ترجمه قوقل عشان النازحين السوريينوهنا حاطينه رءيس سوريا,False,POS,msa,25,21,92
189,189,بشار الاسد يرفع رسوم الاقامه سوريا,False,NEG,msa,8,8,42
190,190,تراث باراك اوباما السياسي محمد الرميحي,False,NEU,msa,11,7,46
191,191,تغلق قناه الفراعين لانها الاكثر كذبا فجورا لانها الاقل احترافيه الكذب والفجور,True,NEG,msa,26,13,79
192,192,شاهد يسري فوده يامن لمن يوما طز مصر,False,NEU,egypt,4,6,26
193,193,اقصد منجد تستاهل هالتحفه الفنيه,False,POS,msa,7,0,11
194,194,حكايه جايي تحتل المرتبه الاولي عرش الاغنيه العربيه❤برافو اميرعمل بنفتخراميرالليل,False,POS,egypt,47,14,107
195,195,حوار خاص النجمه ناديننسيبنجيم لمجله ماري كلير العربيه,False,NEU,msa,16,7,56
196,196, الله ينور يا دكتور ده التفكير اللي عايزينه مش مسجد وكم كنيسه,False,POS,egypt,13,9,46
197,197,متاخر البدايه الصفر خير السير طريق الجميع يعلم نهايتهمليونيهديسمبر,False,NEU,msa,17,7,57
198,198,ريكي مارتن يظهر بخاتم خطبته الفنان السوري يوسف,False,NEU,msa,10,10,57
199,199,يالرخيص ٥٠٠,False,NEU,msa,2,4,10
200,200,صور طبيعيه متحركه للسحب ساعات ماضيه سحابالخير عالمالطقس طقسالسعوديه طقسالعرب,False,NEU,msa,27,14,101
201,201,بالفيديو عكاشه والله هيفاءوهبي مش طريه واللي يتجوزها يبقي خد خازوق بوابهالقاهره مصر توفيقعكاشه,False,NEG,egypt,30,34,164
202,202,الاخوان اختاروا رضا الامريكان خلاص بانت زمان وده اللي هيعمق خلافهم السلفيين ومش بعيد تلاقيهم بيعايروا السلفيين بعلاقه بعضهم بالامن,False,NEG,egypt,43,27,175
