,Unnamed: 0,tweet,sarcasm,sentiment,dialect,total_pos_count,total_neg_count,total_sentiment_score
56,56,ممثل الجمهوريه العربيه السوريه يسترجع نزار قباني وذكرياته المدرسه,False,POS,msa,334,221,1.189
57,57,بنعتذر لحضرتك يا فندم التاخير سيتم اقلاع الرحله تمام الساعه رقم بنتمنالك رحله سعيده,False,POS,egypt,58980,29665,5.098
58,58,صرت موا,False,POS,msa,0,0,0.0
59,59,انتخبواالعرص بقت مكتوبه شوارع مصر,True,NEG,egypt,2954,1213,0.779
60,60,هاري بوتر يعود جديد,False,NEU,egypt,3532,3632,-0.113
61,61,جبير ايه دا وزير الشءون الخارجيه القطري عندنا بس عشان اجتماع الجامعه العربيه,False,NEU,msa,65272,47529,5.162999999999999
62,62,يوسف الحسيني يسب السعوديه لقطعها المساعدات سيسي يا شحاتين ياارهابيين احنا يا اديناكم رز ومحدش حماكم غيرنا,True,NEG,gulf,111243,57231,1.7049999999999996
63,63,شاهد كشفت روسيا اطلاق صواريخ باليستيه اسراءيليه وامريكيه سوريا,False,NEU,msa,965,850,1.0350000000000001
64,64,عبدوا كاسترو العرب يعبدون الولي السفيه بوتن,True,NEG,msa,0,0,0.0
65,65,نشطتها مال هاري بوتر احس,False,NEU,gulf,4014,8263,-1.4920000000000002
66,66,مررررررزوووقفاااااااالحالحححححبييييينيالولي,False,POS,msa,0,0,0.0
67,67,كلناااالدلمانيتدريجيا بدات افقد القدره انشاء صداقات وفتح حوارات طويله شيء يحتاج بدايه,False,POS,msa,5089,8745,-1.631
68,68,الحين العيناويه مابيسكتون تري الوحده ناقص لاعبين واجانب محد ويلعبون بالصغار واضح,False,NEG,msa,3724,4071,-1.0790000000000002
69,69,هههههه شخص برمضان اذكر كتبت نصيحه وسوا ريتويت لكلامي وخله اللي عنده يهاجموني واتفاجء بوجوده معاي بمااده سخريه القدر,True,NEG,msa,5685,5632,0.6479999999999999
70,70,يارب يعد للقلب متسع لمزيد الحزن,False,NEG,msa,14,34,-1.6019999999999996
71,71,امين الجامعه العربيه يبحث مبعوث اممي تطورات الاوضاع بالاراضي الفلسطينيه المحتله,False,NEU,msa,2204,1957,1.1390000000000002
72,72,الحقيقه اللي مش عايزين يفهموها النقد مكنش بالطريقه النضيفه دي هيبقي شتايم وقله ادب وهيزعلوا بجد باسميوسف,True,NEG,msa,52542,24747,7.742
73,73,نوفاك قبله نادال قبلهم فيدرر الافضل الاطلاق,False,POS,msa,30,16,0.49
74,74,اليومالعالميللغهالعربيه يفترض وكل ساعه لغه القران نتلوه يوميا لغه التعليم المدرسي لغه العبادات لغه امه الخير,False,POS,msa,26,25,0.28700000000000003
75,75,يا رب,False,POS,msa,70871,39808,0.739
76,76,ليبيا عاجل اشتباكات مسلحه بالقرب فندق ريكسوس بالعاصمه طرابلس,False,NEU,msa,366,396,-0.3379999999999999
77,77,منع حازم عبد العظيم والسيد البدوي اكبر انصار الانقلاب العسكري السفر يمثل تطبيقا لمبدا صاحب الحمير اضرب المربوط يخاف الساءر,True,NEG,msa,6908,4461,4.038
78,78,زمان كنت اغرد السياسه وقالوا قديما السياسه نجاسه الحمد لله اني تطهرت النجاسه معكمادهم مصر التحرير مرسيرءيسي السيسي,False,NEG,egypt,6704,4799,2.5999999999999996
79,79,اللهم انتقم منالذين طغوا البلادوارحمالذين اخرجوا ديارهم بغير حقحلبالمنكوبه,False,NEG,msa,1952,3704,-1.9689999999999999
80,80,ماذالوالمدارسمختلطهعزيزي المعلم لاتتهاون برصد ومحاسبه الطالب شي مخالف للواءح السلوك والمواظبهتطبيقها يجعل البيءه المدرسه,False,POS,egypt,6976,12222,0.763
81,81,كلما شاهدت طاوله الشطرنج الجميله تزين غرفه اجتماعاتك بيت الوسط اتحمس اشاطرك المباراه الوديه يا شيخ انا مبتدءه,False,POS,msa,123245,87854,-0.16199999999999995
82,82,خطاب بوب ديلان حفل نوبل لماح خاصه علاقه شكسبير بالادب واللي خلاني افتكر كلام تولستوي السينما,False,NEU,egypt,9210,5599,2.811
83,83,الجزيرهنت وتبقيماذنالقدس تصدح بالاذان اسراءيل القدس,False,NEU,msa,0,0,0.0
84,84,حدثت عهد ابن همام ٢٠١١وبحث بسيط عبر غوغل ستجد الكثير والكثير,False,NEU,msa,4299,2827,2.1599999999999997
85,85,هيجو اصير وزيره الصحه اشنق عديله بباب المعظم يم البوكي ستوب حتي يدور بوكيمون يشوف عديله ويجوز اللعبه,True,NEU,egypt,5853,7618,-1.7809999999999997
86,86,رسول الله ﷺايما عبد ابق برءت الذمه رياض الصالحين ريالمدريد,False,NEU,msa,66002,73983,0.038000000000000034
87,87,العرص نيويورك,False,NEG,egypt,23,35,-0.517
88,88,احصل دوره تدريبيه مجانيه مجال الصحافه فيسبوك مساعي شركه فيسبوك المستخدمين,False,NEU,egypt,295,133,0.6809999999999999
89,89,اوبر بالقصيمبريده,False,NEU,msa,0,0,0.0
90,90,الخارجيه الامريكيه كيري اطالب الاطراف بالالتزام بوقف الاعمال العداءيه سيسمح,False,NEU,msa,0,0,0.0
91,91,اللحيهالبيضاءونبيسلوفي رحم الوايت بيرد,False,NEU,msa,1471,5938,-1.8630000000000002
92,92,انسان ايا انسان اجهلك اتفهك الكون وما اضالك شمس وقمر وسدوم وملايين نجوم وفاكرها يا موهوم مخلوقه لك عجبي صلاحجاهين,True,NEG,egypt,58846,32243,-0.3110000000000001
93,93,تلعب لعبه ماريو مخصصه لاجهزه ايفون عبر,False,NEU,msa,884,1220,-0.9970000000000001
94,94,محافظالقاهره ازاله العقارات المخالفه بالقرب المحكمهالدستوريه لحمايه المواطنين,False,POS,msa,0,0,0.0
95,95,رامي عياش عملي لايك اغنيته,False,POS,egypt,1733,1320,1.3419999999999999
96,96,الرياض حي الواحهتقاطع شارع رفحاء طريق ابوبكر الصديقموقعنا عبر خراءط جوجل,False,NEU,egypt,4465,3903,2.3329999999999997
97,97,انت الناس اللي تءيد تسكت ظلم فشل سواء فترات مبارك المجلسالعسكري مرسي السيسي قول,False,NEU,msa,32423,14435,4.876
98,98,الهجوم المتوقع كرداسه متي يتوقفون قتل الاحرار الانقلاب يمارس ويزرع الارهاب,False,NEG,msa,1987,4565,-1.668
99,99,جمال الليل نظره عيونك ونور البدر مرسوم بجفونكوكل الكون يسوي يا نادين بدونكالله يحميكي ندووون,False,POS,msa,56714,29711,2.1119999999999997
100,100,عندي ثقه فيك,False,POS,msa,5,9,-0.622
101,101,وزير الخارجيه المصري يصل مقر الجامعه العربيه ويليه وزير الخارجيه الفلسطيني ليبدا اجتماع اللجنه العربيه المعنيه بانهاء الاحتلال الاسراءيلي,False,NEU,msa,1048,390,2.7319999999999993
102,102,اشرايج جز انييبه بس عشان يغني ٩٩ مشكله يغني بيونسيه,True,NEG,gulf,41607,37782,0.9299999999999999
103,103,ديلي ميل ترامب سينقل السفاره الامريكيه تل ابيب القدس,False,NEU,msa,322,219,1.0540000000000003
104,104,ثار سيدبلال وغيره سيلاحققك ايها الافاق برهامي شيوخالسلاطين تجاردين,True,NEG,msa,410,343,0.22300000000000003
105,105,تشكلت صوره السعودي الاعلام الغربي وما الدور يءديه مرتزقه الاعلامتتبع المال يكشف حقيقه المساعي فضيحهتركيالدخيل,True,NEG,msa,0,0,0.0
106,106,التحكم المروري حركه المرور كثيفه اوتوستراد زوق مكايل باتجاه مفرق غزير وصولا كازينو لبنان عواءق,False,NEU,msa,473,170,4.834
107,107,تظاهرات احوازيه ايران لمصادرتها اراضي جديده بالجنوب,False,NEU,msa,259,47,1.578
108,108,الطبرسي يطابق المفيد نفي وجود المحسنالصرخييغردولايهالفقيهولايهالطاغوتحادثهالداراثارهعواطفوجهل,True,NEG,msa,932,770,0.5780000000000001
109,109,استمرار ماساه غرق شبابنا محاولات ياءسه سعيا وراء لقمه العيشما اسبقياتنا واين اهداف الثوره عيشحريهكرامه انسانيه,False,NEG,msa,322,390,-0.8680000000000001
110,110,الجيزه مصرمشتكيه الفاعليه الثالثه لاحرار اكتوبر سنترال الحي السادس,True,NEU,egypt,88,59,0.5880000000000003
111,111,دوت مصر كامل الوزير «عمرواديب» الرءيس امر بانهاء انشاءات محطه اسوان التفاصيل عبر نبض,False,NEU,egypt,7023,4596,2.5919999999999996
112,112,استمر مرسي سياسه العناد الفاشله سيكون الفرق الوحيد بينه المخلوع مبارك يحب يقضي اجازته شرم الشيخ الاقل حتي,True,NEG,egypt,7587,8062,3.9739999999999998
113,113,غاره جويه الطيران الروسي عده احياء مدينه حلب وسقوط شهيدا جريحا ومازال الدفاع المدني يعمل,False,NEU,egypt,58,74,-0.831
114,114,خليفتنا اردوغان رضي الله ينام الهواء كلمه بوتين مءتمر مشترك باسطنبول وخبيريءكد فخامته مرهق شده العمل,False,NEG,msa,64380,72363,4.48
115,115,اعلان غوغل دليلك لحرب المناطق والشوارع والاحياء ليبيا,False,NEG,levant,604,422,1.2880000000000003
116,116,ارسل المغني بوب ديلان الفاءز بجاءزه نوبل للادب رساله يشكر الاكاديميه السويديه وصف المنح بانه شرف يضاهي الوقوف القمر,False,NEU,msa,2057,1597,2.616
117,117,القبض المتحدث حزب الحريهوالعداله محمدع,False,NEU,msa,214,55,1.234
118,118,مسرحيه سيد قطب مسرحيه صدام الاعلام الغربي باشكاله يريد تثبيت صوره متلبسين الاسلام بصوره المخلص فلا تكن فريسه للغرب,False,NEG,msa,1784,710,2.46
119,119,اعجبني فيديو ادمان لعبه بوكيمون قو,False,NEU,msa,976,902,-1.455
120,120,لبنان اخوه لاجءين فلسطينيين يكن وزيرا لشءونهملكن الاخوه النازحين السوريين حظهم الحكومه نارنخترعوزارهلوزير,True,NEG,levant,224,106,0.632
121,121,اليمنيه الناتو واثق حفاظ ترامب قياده الولاياتالمتحده للحلف,False,NEU,msa,381,162,1.438
122,122,الولاياتالمتحده احتجاز صحفي كندي يتجه لموقع الاحتجاجات مد خط البترول نورث الولايات المتحدهداكوتا لمده ساعات يثير المخ,False,NEU,msa,1193,778,2.834
123,123,اللهم بالظالمين لافروف,False,NEU,msa,1871,3450,-0.723
124,124,تدهور الحاله الصحيه لعاءلات شهداء وجرحي الثوره المضربين الطعام,False,NEG,msa,26,42,-0.5760000000000001
125,125,يبا يشوف الصدقي يشوفني اكون وسط ناس مادانيهم,False,NEU,levant,10493,11028,-1.2539999999999998
126,126,عمرواديب اردوغان بيصوت تركيا بتسف التراب الاسبوع ده هههههههههههههه حرقاك يا اقرع,True,NEG,egypt,74666,33580,6.918999999999999
127,127,ﻭﻓﺄﻯ ﻣﻜﺎﻥ ﻭ ﻓﺄﻯ ﺯﻣﺎﻥ ﺑﻘﻮﻟﻬﺎ ﻟﻴﻚ ﻭ ﺑﺎﻋﻠﻰ ﺻﻮﺕ ﻏﻴﺮﻙ ﻣﻠﻴﺶ ﻋﺸﺎﻥ ﺍﻋﻴﺶ ﺍﻻﻫﻠﻰ قلبي ﻟﺤﺪ اموووووت,False,POS,egypt,89,453,-1.729
128,128,مدفن القاهره للعداله يحدث مطار القاهره الشرطه تمنع اواءل الحقوق وترحب وتفسح للمتاخرين الفاشلين,True,NEG,msa,269,280,-0.266
129,129,شاطره تفهمها تروح للشيخ غوغل يترجمها باهبل هيك,True,NEU,egypt,1207,984,0.381
130,130,باﻷحضان يا غاليه الجونه,False,POS,egypt,55230,28010,1.71
131,131,قايل لجراح الهبيده انك حلو والله يا معطي وضعيه جستن بيبر بسنابه,True,NEG,gulf,65790,33732,0.9349999999999999
132,132,طبت طيب اوردوغان والله ينفع الاوغاد الايرانيين الروس السوريين التهديدبالقصف الجوي والارضي اعتدوا النازحين السوريين,False,POS,msa,10942,8372,-0.595
133,133,مباشرمنرابعهستبقيحلبشاهد طفل سوري يلقي قصيده مءثره يبكي فليذكر التاريخ اعداد الصواريخ تقتل,False,NEG,msa,1634,1801,0.30899999999999994
134,134,لاتساليني ليييش رجمي نزلتذيب الخلا لاجااااع رجمه نزلعن الغزل وسماان الافكار اعتزلتكل شي عيني غبتي هزل,False,NEG,gulf,7085,12483,-1.917
135,135,موسكو استءناف المفاوضات السوريه كازاخستان امر واقعي,False,NEU,msa,2585,1587,1.1340000000000001
136,136,طريقه تعطيل محرك البحث بينج ويندوز,False,NEU,msa,84,56,1.296
137,137,جيش السيسي يهدم بيوتنا لاقامه منطقه عازله سيناء وغزه اين اقنيه التصهين ورواري العربيه يلطم منتهاه,True,NEG,msa,2488,1703,2.0970000000000004
138,138,شاء الله متخذين كامل الاجراءات الصحيه اخر شي النطره عباره لعبه الكراسي,False,NEU,levant,84736,94796,-0.6920000000000001
139,139,مصر الاخبار اغذيه ملوثهاكل لحوم الحميراعتقالات قسريهقتل بلا محاكمهحرب الاسلامتحالف سفاحي حلبطعن ظهر,True,NEG,egypt,3661,2140,0.235
140,140,جريدهالميدان الناتوالناتو ضباط اتراك طلبوا اللجوء وعدم العوده انقره,False,NEU,msa,0,0,0.0
141,141,ابتسم وجه الناس فانها صدقه,False,POS,msa,2464,2922,-0.539
142,142,عالم الكره الصفراء يتيما حتي جاء فيدرر اخرج جمال الرياضه للعالم,False,POS,msa,10364,12161,-1.4529999999999998
143,143,نوال الزغبي شو بتعملي,False,NEU,levant,1570,2063,0.686
144,144,ديميتروف الحداستطاع التغلب علينادالجوكوفيتشمورايفافرينكالكن يستطع التغلب علمه السحرروووووجير,True,NEU,msa,0,0,0.0
145,145,احتفالات الدون طريقه,False,NEU,egypt,0,0,0.0
146,146,اللي يجتاح اليمين المتطرف اوروبا وترامب امريكا والعالم يتم تعيين ملحد يبت امور المسلمين اوللادينيبمجلسالشوري,True,NEG,levant,839,306,3.6310000000000002
147,147,النظام الصحي الامريكي يحرم امريكي العلاج,False,NEU,msa,401,171,0.738
148,148,نجوم مصريه تاريخ مباراه السعوديه واليابان القادمه تصفيات كاس العالم,False,NEU,msa,1890,1150,0.76
149,149,طيران العدوان يشن سلسله غارات محافظات الجمهوريه اليمن نجران,False,NEU,msa,135,87,0.6930000000000001
150,150,شي بيرفكتتت حرفيا,False,POS,egypt,6906,12208,-0.6809999999999999
151,151,ايمن يونس يءكدالزمالك يشارك دوره قطر لموقفها مصر حكومتك يا كابشن بتتفاوض قطر عشان تشحت غاز,False,NEG,egypt,59631,29897,4.899
152,152,ثلوج متوقعه المناطق الشماليه والجوف فجر الثلاثاء طقسالعرب,False,NEU,msa,596,563,-0.054000000000000006
153,153,ريكي مارتن حريم العالم كلها اللي قدامو اختار يخطب دا اصول عربيه وانا اللي كنت فاكرك نينجا طلعت,True,NEG,egypt,8315,3381,2.2139999999999995
154,154,باسمطلعحرامي عاشقمصر,True,NEG,egypt,0,0,0.0
155,155,اطمنوا ايها النبلاء تعز بخير روايح جثث الحوثي والمخلوع ازعجت الساكنين حتي الكلاب ترفض لحومهم النجسهالتكبير جبل هان اليمن,True,NEG,msa,6983,8704,0.038999999999999924
156,156,اليمنيه تعيين عبدالواحدالدعام عضوا مجلس الشوري,False,NEU,msa,293,134,1.3159999999999998
157,157,ديوان الوقف السني يقيم احتفاليه بمناسبه ذكري المولد النبوي الشريف مخيم حي الجامعه للنازحين,False,NEU,msa,2134,2748,-0.002000000000000182
158,158,روسيا الصين تستخدمان حق الفيتو وتفشلان هدنه حلب سورياتمدن,False,NEU,msa,5155,4832,0.373
159,159,لغه السي لبرمجه الحاسوب ماكان كومبيوترات اساسا مات مكتشف اللغه العظيمه طق خبر,False,NEG,msa,4429,5988,-1.009
160,160,يونجون بكييت لاا,False,NEU,msa,157,230,-0.491
161,161,اليمنيه شهيدا و مصابا خروقاتالانقلابيين بتعز ساعه,False,NEU,msa,55951,41991,0.17600000000000002
162,162,لاول مره روجر فيدرر رافا نادال خارج المراكز الاربعه الاولي تصنيف الاتحاد العالمي للتنس,False,NEU,msa,566,352,2.844
163,163,ياروافض بلا كلام والا اخرج️️العراق بغداد البصره كربلاء النجف لبنان البحرين الكويت قطر سوريا عمان الاردن,True,NEG,msa,8487,5049,1.5849999999999997
164,164,سيدناالنبي طيب الراءحه واذا صافحه بيده عطره ساءر صلي الله يا سيدي يا رسول الله,False,POS,msa,251426,208866,2.0389999999999997
165,165,الله نزع ملكم لغدركم السيسي الله اذهب حكمكم لعدم اخلاصكم الله استبدلكم لانكم خنتم الامانه ووليتم,False,NEG,msa,191369,215414,-0.05099999999999999
166,166,تويتر تنزف دولارات ببورصه نيويورك انباء تراجع جوجل «الاستحواذ»,False,NEG,msa,3064,2089,1.7199999999999998
167,167,ليه مستكترين الست تنفيطيب شكرا ليها نفت كلام طاءفي زي دهولازم يتم عمل تحقيقات قضاءيه لاثبات وجود قرصنه ولو طلع كدب ساعتها تتحاسب,False,NEU,egypt,26954,17845,4.0649999999999995
168,168,تحقيق اعلي دخل اوبر,False,NEU,egypt,6766,7087,-0.07099999999999998
169,169,بوتين ودعم اليمين المتطرف العالم,False,NEU,msa,16,0,2.722
170,170,وكيل رمضان صبحي يصف اللاعب بالاستثناءي ويوضح الفرق بينه صلاح,False,NEU,msa,1163,1468,1.5189999999999997
171,171,هدف الباراغواي رجعنا لنغمه ميسي احب اذكركم ميسي مالعب قدام تشيليفي دور المجموعات بالكوبا وفازت الارجنتينولعب النهاءي,False,NEU,egypt,7328,15224,-1.5139999999999998
172,172,الحسين رضي الله سابق عصره ويستخدم غوغل مابس,False,NEU,msa,64578,72461,0.9670000000000001
173,173,طبعا هذول خرفان شهرهيعني تلاقيه يلعب بوكيمونيتكلم طلاق براد بيت وانجلينايعني مواكبين الاحداث التافه,True,NEG,magreb,3826,3911,1.7409999999999999
174,174,ريكيمارتن يعلن خطوبته فنان سوري الموجز منوعات,False,NEU,msa,1170,737,0.8880000000000001
175,175,اوباما يندد بتصريحات ترامب المهينه والمخزيه بحق النساء ندد الرءيس الاميركي باراك اوباما الاحد بالتصريحات,False,NEU,msa,796,216,4.356
176,176,سءال يحتاج جوابمصر تغلق مسجد الحسين الرافضه لاحياء عاشوراءتركيا واردوغان تسمح للرافضه باحياء عاشوراء,False,NEU,msa,212,203,-1.352
177,177,صدر اليسا وجه رءي الصبان شعر رشاقه ميريام فارس مكوه روبيو عيون زينب ذيك المغربيه الصوت نوال الكويتيه وبس والله,False,NEU,levant,4622,7309,-6.625
178,178,الجهﻻء الشعب المصري فضحونا مناطق العالم بالهاش تاج المسي نعمه التحضر سانتخبالسيسيومشهنزللمستواك,True,NEG,msa,239,75,1.0390000000000001
179,179,اشار وشي فانما يشي بانه مفيش قيمه وطنيه موجوده التنظيم ابناء التنظيم,False,NEG,egypt,6697,8775,-0.008000000000000007
180,180,ساعه ابل لهواتف سامسونج اجهزه يمنع السياسيون استخدمها لاجراءات امنيه البحرين الكويت السعوديه الامارات,False,NEU,msa,394,425,0.11099999999999996
181,181,الولاياتالمتحده ترامب يتخلي اعماله التجاريه للتركيز العمل السياسي,False,NEU,msa,0,0,0.0
182,182,اذكر اسم صفه لخاتم النبيين ﷺ القران الكريم ممكن ارسال اسمبمنشن مختلف٣ ايفون بالقرعهريتويت فض,False,NEU,msa,12639,7558,0.3699999999999999
183,183,المهاجر ابوحمزه الشيعي العراقيمن قلب محروق يهاجم حكومه اللصوص واصحاب العماءم عصابات العراق بغداد البصره كربلاء النجف,True,NEG,msa,6537,15751,-0.4339999999999999
184,184,تفعيل الوضع الليلي ايفون٧,False,NEU,msa,18,32,-2.402
185,185,يا حلب انتي عنوان الصمودباذن ربي تسقطين ٰرغم حلف الروافض واليهودرغم بوتن بشار اللعين,False,POS,msa,56293,28788,3.074
186,186,البرلمان الاحتلال ينصب عشرات الحواجز العسكريه القدس المحتله,False,NEU,msa,0,0,0.0
