,words,frequencies
627,لديهاأقامت,1
628,مجموعة,21
629,الباحثين,1
630,عن,672
631,عمل,36
632,وتفوق,1
633,أعمارهم,1
634,hamd2027,2
635,وتدري,2
636,خاطري,3
637,بجنطة,2
638,شانيل,3
639,معاها,3
640,جنطة,2
641,غوتشي,103
642,جوتيها,2
643,وبوك,2
644,لويس,8
645,فيتون,2
646,kasimf,7
647,يعنى,8
648,اغتصاب,2
649,امه,8
650,حلو,21
651,وحلال,1
652,وزى,1
653,الفل,3
654,آآآآه,1
655,ياعواهر,1
656,اسف,2
657,بشأن,46
658,الرسايل,2
659,انا,224
660,حسابى,1
661,ع,116
662,جوجل,90
663,علشان,33
664,مفيش,22
665,غير,159
666,إشعارات,1
667,خاصية,5
668,الكتابة,6
669,عندى,3
670,الكويت,42
671,تعلن,15
672,تدشين,5
673,مقر,16
674,حلف,23
675,الناتو,110
676,الإقليمي,1
677,2017,23
678,للتفاصيل,4
679,اضغط,6
680,الرابط,26
681,الوطنالعربى,4
682,إليكم,5
683,مميزة,5
684,الإطلالات,1
685,الجديدة,22
686,لعطلة,1
687,أعياد,4
688,رأس,16
689,السنة,25
690,تشاهدونها,1
691,آخر,49
692,فاشنتايمFashion,1
693,قالتلو,1
694,أي,73
695,البركة,3
696,فيكن,1
697,ابني,4
698,ما,627
699,أنتو,1
700,رجعتو,1
701,البلد,39
702,خمسين,2
703,سنة,66
704,لووورا,1
705,سورياياوجعي,1
706,واقع,7
707,مرير,1
708,عم,30
709,بنعيشو,1
710,HUN0E,2
711,Counselkremlin,5
712,الرئيس,188
713,الروسيفلاديمير,2
714,بوتين,37
715,يشرح,5
716,كيف,111
717,انشأ,2
718,اوباما,42
719,داعش,132
720,اليمنية,73
721,رئيسالجمهورية,2
722,يعزي,3
723,وفاة,8
724,السلطانعليالعبدلي,1
725,wajood,2
726,هاري,118
727,بوتر,120
728,naizaktv,3
729,فيه,118
730,بعض,100
731,الطلبات,3
732,أتتني,2
733,لترجمة,2
734,مناظرة,10
735,وترامب,6
736,كانت,103
737,وصعب,2
738,ترجمتها,2
739,كاملة,15
740,لكن,100
741,تؤيد,6
742,ترجمة,8
743,المقاطع,2
744,منه,47
745,mstrfederer,2
746,fed89erer,4
747,عالم,13
748,الكرة,24
749,الصفراء,3
750,يتيما,2
751,جاء,16
752,فيدرر,98
753,اخرج,3
754,جمال,23
755,هذه,104
756,الرياضة,10
757,للعالم,8
758,طقس,22
759,المناطق,11
760,المتوقع,5
761,تشهد,4
762,تساقطا,1
763,للثلوج,2
764,لساعات,3
765,قليلة,8
766,مساء,45
767,الإثنين,3
768,حاجات,7
769,بتحصل,1
770,وتشوف,1
771,انها,44
772,ملهاش,3
773,مكسب,1
774,طبعا,26
775,الاعلام,51
776,اي,80
777,عيل,5
778,بقي,31
779,صحفي,8
780,واي,6
781,لاعب,55
782,اعلامي,4
783,وعنده,1
784,برنامج,39
785,أمه,9
786,يأساده,1
787,لأيستقيل,1
788,المدير,5
789,العام,43
790,منصبه,4
791,وتطاالبون,1
792,الدوله,4
793,يستقيل,1
794,اخرجو,1
795,الأجانب,4
796,اوبر,38
797,كريم,19
798,لكل,32
799,سعودي,18
800,شريف,4
801,الرجاء,4
802,التفاعل,2
803,هالحساب,1
804,ubercreem,1
805,الدمامالرياضالخبرجدةاتحاداوبركريم,1
806,الي,115
807,مو,64
808,عاجبه,1
809,مبدأ,5
810,التعايش,1
811,مختلف,14
812,اشكال,1
813,عنده,24
814,حلين,1
815,يصير,10
816,امريكي,6
817,يصوت,8
818,حق,46
819,دونالد,82
820,ينتحر,1
821,الخيار,3
822,الثاني,20
823,اشرف,6
824,لك,106
825,karihalkhwarij,1
826,IslamMuslim,1
827,مطلوبين,1
828,دوليا,6
829,أليس,5
830,الأولى,24
831,بشار,101
832,الأسد,104
833,المطلوب,3
834,لو,210
835,المجتمع,78
836,الدولي,85
837,عادل,15
838,بالأساس,1
839,مندوبة,6
840,واشنطن,74
841,الأممالمتحدة,52
842,تضع,4
843,قائمة,25
844,عار,15
845,لنظام,12
846,نبيل,7
847,العربي,51
848,فخر,7
849,لمصر,26
850,علمه,3
851,أخلاقه,1
852,ووطنيته,1
853,ونقائه,1
854,ولم,26
855,يفكر,4
856,يسعي,1
857,يوما,26
858,للترشح,2
859,للرئاسة,16
860,تزجوا,1
861,بإسم,3
862,الرجل,14
863,المناخ,3
864,السياسي,28
865,الملوث,1
866,عمروأديب,25
867,قال,102
868,أمبارح,2
869,يغمز,22
870,مجاهدين,1
871,بيت,64
872,المقدس,3
873,بيجاهد,2
874,قصدي,3
875,بيراقب,1
876,اكادمية,1
877,الشرطة,21
878,حركةكايدينهم,3
879,قفشت,2
880,الوله,3
881,المصري,60
882,فالتليفزيون,2
883,1gentel,1
884,نداء,2
885,الى,179
886,الاخوة,5
887,فتح,25
888,الشام,28
889,اتستراد,1
890,حماه,2
891,حلب,392
892,يفتح,7
893,للامداد,1
894,وتبديل,1
895,نقاط,18
896,الرباط,4
897,ستسقط,1
898,القرى,1
899,والمدن,1
900,وتهجر,1
901,وتهدم,1
902,ميشالعون,12
903,يؤكد,29
904,حرص,4
905,بلاده,7
906,تعزيز,11
907,العلاقاتاللبنانيةالسعودية,2
908,PSKBLالسعودية,1
909,لبنان,138
910,السعوديةلبنان,1
911,إثر,2
912,هجومهما,1
913,الهمجي,3
914,البيت,31
915,الأبيض,15
916,يحذر,5
917,روسياسوريا,2
918,روسياتحرقحلب,1
919,تدميرالمشافي,1
920,ضبط,5
921,مديرمستشفى,1
922,التأمين,1
923,الصحى,1
924,ببنى,1
925,سويف,6
926,يرتدى,1
927,بنطلون,1
928,جينز,1
929,وإقالته,1
930,ماله,7
931,الشورت,1
932,تم,49
933,ترقيتك,1
934,بلد,21
935,الجو,11
936,رهييييب,1
937,سحابة,9
938,المطر,16
939,أحمر,182
940,الوهابية,4
941,مستجنين,1
942,ميتين,4
943,يعرفون,4
944,وش,34
945,مسلسل,18
946,عمر,21
947,أفمن,1
948,أسس,4
949,بنيانه,1
950,تقوى,1
951,ويش,2
952,الخوف,18
953,Bahrain,5
954,mbc,2
955,الألم,6
956,الذي,155
957,نشعر,3
958,به,62
959,موقف,29
960,قد,57
961,يزداد,3
962,ويدخلنا,1
963,المستشفي,2
964,لشدته,1
965,وفي,38
966,النهاية,6
967,يندرج,1
968,مسمي,1
969,سوء,7
970,تغذيه,1
971,الدور,9
972,المشرف,1
973,لعبه,3
974,الإخوان,70
975,حماية,14
976,الميدان,9
977,موقعة,3
978,الجمل,4
979,لطخوه,1
980,عندما,76
981,قرروا,2
982,يصنعوا,1
983,جمل,4
984,حتة,4
985,أجل,31
986,الكذاب,4
987,صوت,41
988,أنا,116
989,أعشق,1
990,نبرتكوجه,1
991,يرسل,23
992,قبلة,23
993,بريق,21
994,راميعياش,19
995,ramyayach,2
996,amyAyach,22
997,gaxOoqzH,1
998,إذا,63
999,المتحدث,6
1000,باسم,37
1001,التحالف,25
1002,عسيري,3
1003,أعلن,7
1004,عدم,31
1005,تجديد,3
1006,الهدنة,19
1007,اليمنعن,1
1008,أطراف,2
1009,يتحدث,8
1010,كيري,67
1011,أم,29
1012,محاولة,11
1013,ستحل,2
1014,اليسا,54
1015,ضيفة,3
1016,عمرو,32
1017,أديب,10
1018,كليومجمعة,3
1019,تأكد,3
1020,الفنانة,14
1021,الأكثر,13
1022,مبيعا,3
1023,الشرق,22
1024,الأوسط,11
1025,غردكانكفيالتسعينيات,1
1026,ماما,3
1027,دوريلي,1
1028,التلفزيون,6
1029,بدي,5
1030,كليب,5
1031,نوال,46
1032,الزغبي,37
1033,الجديد,58
1034,يمكن,59
1035,اسمو,2
1036,الليالي,3
1037,هههNawalElZoghbi,1
1038,ذكريات,4
1039,المسلسلات,3
1040,الكويتيه,3
1041,سنه,16
1042,اوطى,2
1043,حوارات,2
1044,فاشله,2
1045,ولد,16
1046,زعطوط,1
1047,يطول,3
1048,لسانه,4
1049,يقول,75
1050,ابو,43
1051,وخر,1
1052,راسك,2
1053,شكبره,1
1054,خلني,1
1055,اطالع,1
1056,تكرار,2
1057,السيناريوهات,1
1058,بكل,42
1059,تشوفه,3
1060,الحب,25
1061,اول,59
1062,نظره,2
1063,وزير,67
1064,الكهرباء,11
1065,مضايق,1
1066,وأنا,22
1067,برفع,5
1068,الأسعار,4
1069,العدو,9
1070,أمامنا,4
1071,والبحر,2
1072,خلفنا,2
1073,والفيشة,1
1074,إيدينا,1
1075,السلك,1
1076,عريان,1
1077,ياحكومة,3
1078,أبووووس,1
1079,إيديكي,1
1080,بلاش,6
1081,المسئولين,4
1082,يطلعوا,1
1083,يقولوا,4
1084,تصريح,11
1085,ده,125
1086,الأسطي,1
1087,حيحا,2
1088,بيتكلم,3
1089,هاتوا,3
1090,وزراء,27
1091,متعلمين,2
1092,القصيدة,1
1093,خذيهاأو,1
1094,خذينيودعي,1
1095,لهم,65
1096,الورقةأحمدالشيخعلي,1
1097,أرفض,2
1098,تماما,15
1099,وأدين,1
1100,الصحفيين,7
1101,أمام,49
1102,كنيسة,4
1103,السيدة,8
1104,العذراء,1
1105,لأخونة,1
1106,الكنيسة,6
1107,أبي,14
1108,هريرة,2
1109,رضي,11
1110,عنه,36
1111,رسول,25
1112,قام,21
1113,رمضان,97
1114,إيمانا,2
1115,واحتسابا,2
1116,غفر,3
1117,له,137
1118,تقدم,13
1119,ذنبه,4
1120,متفق,4
1121,عليه,132
1122,بل,35
1123,إن,124
1124,تعالى,9
1125,أقسم,3
1126,حين,34
1127,وليال,1
1128,عشر,11
1129,وهذا,24
1130,وحده,16
1131,يكفيها,1
1132,شرفا,3
1133,وفضلا,1
1134,فإن,13
1135,العظيم,36
1136,يقسم,1
1137,بعظيم,1
1138,فلا,24
1139,يفوتكم,4
1140,الأجر,1
1141,MannequinChallenge,47
1142,داير,3
1143,حالة,30
1144,AlwaghtNews,1
1145,منظمة,18
1146,أوكسفام,1
1147,السعوديةارتكبتمذبحة,1
1148,بالمدنيين,1
1149,JXB,1
1150,يارب,61
1151,خذ,7
1152,بيد,17
1153,يدتيشيخه,1
1154,إل,5
1155,ذاك,10
1156,النعيم,5
1157,البارد,4
1158,أرحه,3
1159,العباد,6
1160,منامه,3
1161,الأبدي,3
1162,الأوراق,3
1163,المتساقطة,3
1164,موافقتنا,1
1165,القرارين,1
1166,الدوليين,2
1167,منعا,2
1168,للعدائيات,1
1169,NourHammoury,1
1170,مؤسس,6
1171,ويكيليكس,6
1172,سيقوم,3
1173,باعلان,1
1174,مهم,15
1175,لندن,13
1176,ويخص,1
1177,بالذكر,2
1178,ويقول,18
1179,ستنتهي,2
1180,بعد,377
1181,الاعلان,5
1182,طبقا,3
1183,لموقع,4
1184,ويكي,1
1185,ذنب,7
1186,الشعوب,14
1187,العربيه,17
1188,التي,157
1189,تعيش,15
1190,حكم,38
1191,العسكر,17
1192,المجرمين,5
1193,يقولون,8
1194,اله,6
1195,الا,97
1196,محمدا,1
1197,وجدت,4
1198,دوله,6
1199,العالم,136
1200,شقاء,1
1201,المسلمه,1
1202,والحكام,3
1203,الدكتاتورين,1
1204,الظالمه,1
1205,rolamasri,1
1206,عملت,5
1207,لايك,2
1208,مفكر,19
1209,2iAbX,1
1210,مارلي,1
1211,بيبر,67
1212,مره,30
1213,ماتركب,1
1214,الشيخ,94
1215,حافظ,3
1216,سلامة,15
1217,فشل,25
1218,مؤامرة,2
1219,أمريكا,50
1220,لإسقاط,5
1221,الجيش,90
1222,السادةالمحترمون,26
1223,صارلي,2
1224,ثلاث,21
1225,اسابيع,3
1226,انطر,1
1227,هالتنبيه,1
1228,يبكي,224
1229,بصوت,215
1230,عال,217
1231,SuperMarioun,39
1232,UdcQwn2,1
1233,سيدي,10
1234,أكره,1
1235,الإرهابيين,16
1236,ارفض,4
1237,الفكر,13
1238,التكفيري,2
1239,يجعلني,3
1240,إرهابي,9
1241,نعم,31
1242,اعلم,5
1243,انتهت,12
1244,الفتوى,1
1245,SaudierrorLaw,1
1246,تجار,2
1247,الدين,35
1248,قل,8
1249,يستوي,2
1250,يعلمون,2
1251,والذين,2
1252,؛,36
1253,ويل,3
1254,أفاك,1
1255,أثيم,1
1256,مبدئيا,2
1257,نتفق,3
1258,مافيش,8
1259,أحلى,12
1260,سمك,3
1261,بشكل,40
1262,عاموالله,1
1263,السمك,1
1264,نيويورك,12
1265,ولا,294
1266,تركيا,73
1267,ماليه,2
1268,لازمة,2
1269,جنب,3
1270,سمكناعاش,1
1271,سمكنا,1
1272,يبركلك,1
1273,دكتور,7
1274,ahmedalيضحك,2
1275,esa1,1
1276,تقديم,12
1277,الإختبارات,1
1278,النهائيةوتكون,1
1279,شهر,25
1280,شعبان,5
1281,بدلا,14
1282,نعمرتويتمنشنلامفضلةالتصويت,1
1283,مرتبط,1
1284,بحسا,1
1285,تواجدي,2
1286,خارج,23
1287,المملكة,23
1288,منعني,2
1289,مشاركتهم,2
1290,تجهيز,4
1291,التيفو,2
1292,واعرف,2
1293,حجم,12
1294,التعب,3
1295,وا,14
1296,رهاق,2
1297,يعانوه,2
1298,حاليا,16
1299,ويارب,3
1300,تضيع,4
1301,تعب,2
1302,الالتراس,3
1303,كشف,8
1304,لنا,50
1305,الانقلاب,86
1306,البلطجية,6
1307,نكن,1
1308,نتخيل,2
1309,ابدا,14
1310,بهذه,5
1311,الهائلة,1
1312,والسلاح,3
1313,الوفير,1
1314,والعلاقات,1
1315,الطيبة,2
1316,الحكومة,57
1317,c,3
1318,حملة,29
1319,اغاثة,1
1320,النازحين,58
1321,السوريين,67
1322,أني,8
1323,أحبك,7
1324,وبعد,21
1325,حبك,7
1326,أريد,9
1327,حبا,4
1328,برلمان,4
1329,الشباب,24
1330,اليمني,20
1331,يدين,11
1332,المجزرة,2
1333,الصالة,3
1334,الكبرى,9
1335,بالعاصمة,2
1336,الخطوات,2
1337,تطبقين,2
1338,مكياج,6
1339,لموسم,3
1340,خريف,2
1341,شتاء,4
1342,2016,34
1343,موقع,48
1344,حياتي,27
1345,المساء,4
1346,بدونك,2
1347,حبيبي,29
1348,كنه,2
1349,حاجة,65
1350,أقدر,4
1351,أوصفها,1
1352,توجع,3
1353,جدا,53
1354,مؤثر,2
1355,والدة,2
1356,الاسير,4
1357,انس,2
1358,شديد,4
1359,المضرب,1
1360,الطعام,8
1361,منذ,56
1362,٦,35
1363,٠,101
1364,تعانق,1
1365,ولدها,2
1366,السماح,3
1367,بزيارتهفلسطين,1
1368,8eaam,2
1369,طالبة,3
1370,قسما,3
1371,اسلام,3
1372,منمستي,1
1373,أيدي,20
1374,مطوية,20
1375,سن,4
1376,جي,4
1377,ي,38
1378,نتيقبضونامنظور,1
1379,مليون,64
1380,خزوق,1
1381,يفلقوه,1
1382,180,3
1383,توكيل,1
1384,زرايبي,1
1385,للعرص,2
1386,مرسىرئيسى,8
1387,انتخبواالعرص,39
1388,الشعبيردتحيةالرئيس,4
1389,رابعة,21
1390,واللحين,1
1391,انتظر,3
1392,عند,64
1393,باب,15
1394,فرعهم,1
1395,بأبها,1
1396,الموظف,2
1397,انتظري,1
1398,دقايق,7
1399,نفطر,1
1400,ثم,65
1401,نخدمك,1
1402,الفريق,17
1403,احمدشفيق,13
1404,رفع,50
1405,اسمه,23
1406,قوائم,9
1407,الترقب,4
1408,المنع,1
1409,السفر,7
1410,بيقولوا,6
1411,مبارك,60
1412,خد,10
1413,براءة,6
1414,قضية,17
1415,دلوقتى,4
1416,قضايا,13
1417,كتير,28
1418,مستعجلين,1
1419,الراجل,11
1420,خليه,2
1421,يلمهم,1
1422,كلهم,23
1423,ورا,19
1424,حقه,5
1425,جدعان,5
1426,DrHamsheri,2
1427,نظام,57
1428,يسعى,13
1429,لإفراغ,1
1430,ضمانات,3
1431,روسية,7
1432,aawsatNews,8
1433,تحيي,2
1434,حفلا,2
1435,غنائيا,1
1436,دبي,31
1437,6,61
1438,ديسمبر,27
1439,الحقيقةمباشرمصرانقلابيضحك,1
1440,يوليو,9
1441,السيسى,20
1442,المتخابر,1
1443,لخطف,2
1444,أول,56
1445,منتخب,25
1446,يستعين,1
1447,بحلفائه,1
1448,لدعمه,1
1449,بالسلاح,7
1450,للتصدى,1
1451,للإسلاميين,1
1452,حبيت,4
