token,frequency,token_preprocessed
يقول,371,يقول
غير,783,غير
ذلك,338,ذلك
كمن,7,كمن
يغطي,8,يغطي
الشمس,41,الشمس
بغربال,4,بغربال
لو,1198,لو
شاطرة,4,شاطرة
تفهمها,6,تفهمها
او,756,او
تروح,27,تروح
للشيخ,8,للشيخ
غوغل,297,غوغل
يترجمها,4,يترجمها
بأهبل,4,بأهبل
هيك,39,هيك
أؤكد,4,أؤكد
حق,250,حق
جماعة,116,جماعة
الإخوان,278,الإخوان
الاحتفاظ,4,الاحتفاظ
بترخيصها,2,بترخيصها
كجمعية,2,كجمعية
أهلية,12,أهلية
ومزاولة,2,ومزاولة
نشاطها,3,نشاطها
الأهلي,111,الأهلي
نطاق,14,نطاق
القانون,114,القانون
الذي,970,الذي
سنه,122,سنه
برلمانها,2,برلمانها
-,5248,-
شبكة,52,شبكة
رصد,12,رصد
الإخوانية,13,الإخوانية
بتسلم,6,بتسلم
ابنها,9,ابنها
عمر,157,عمر
فراج,2,فراج
تسليم,48,تسليم
زفر,2,زفر
وبيقولوا,3,وبيقولوا
انه,583,انه
جاسوس,12,جاسوس
لتركيا,13,لتركيا
،,7439,،
ويقولك,10,ويقولك
احنا,296,احنا
إخوان,27,إخوان
سلملي,6,سلملي
اخلاق,26,اخلاق
الجماعة,29,الجماعة
فلسطين,391,فلسطين
تؤكد,35,تؤكد
لي,326,لي
الردود,9,الردود
ان,2618,ان
بعض,384,بعض
الأخوة,14,الأخوة
يعتقدون,5,يعتقدون
فعلا,252,فعلا
انهم,154,انهم
الاسلام,211,الاسلام
وانك,6,وانك
اذا,425,اذا
توافقهم,3,توافقهم
فانت,13,فانت
عدو,37,عدو
للإسلام,23,للإسلام
مساحة,26,مساحة
لديهم,40,لديهم
تحب,36,تحب
وتختلف,3,وتختلف
معهم,76,معهم
مو,266,مو
معقوووولة,4,معقوووولة
لاعبين,64,لاعبين
بهالحجم,4,بهالحجم
غياب,74,غياب
لاعب,586,لاعب
حتى,819,حتى
هاللاعب,4,هاللاعب
هو,2013,هو
ميسي,390,ميسي
ياخي,57,ياخي
شلون,23,شلون
تبي,32,تبي
تحقق,42,تحقق
مونديال,147,مونديال
وأنت,54,وأنت
بدونه,11,بدونه
ضاااااايع,4,ضاااااايع
الارجنتين,83,الارجنتين
البارغواي,13,البارغواي
ايران,404,ايران
سمح,22,سمح
يكون,433,يكون
سعد,174,سعد
رئيس,613,رئيس
حكومه,27,حكومه
.,34196,.
رفض,108,رفض
اعطاء,6,اعطاء
وزاره,9,وزاره
سياديه,2,سياديه
للقوات,43,للقوات
فرض,40,فرض
ميشال,141,ميشال
عون,172,عون
وبقولوا,2,وبقولوا
هيدي,9,هيدي
شجاعه,2,شجاعه
ليس,372,ليس
سرا,18,سرا
تدعم,132,تدعم
جبهة,244,جبهة
النصرة,158,النصرة
والاتفاق,2,والاتفاق
السعودي,1603,السعودي
التركي,58,التركي
لفتح,10,لفتح
ممرات,4,ممرات
لتمويل,13,لتمويل
هذه,585,هذه
الجبهة,7,الجبهة
طقس,153,طقس
مستقر,6,مستقر
وبارد,2,وبارد
نهار,23,نهار
الاثنين,58,الاثنين
وأمطار,4,وأمطار
وثلوج,8,وثلوج
منتظرة,2,منتظرة
المرتفعات,6,المرتفعات
مساءا,14,مساءا
الاردن,53,الاردن
الطقس,27,الطقس
با,24,با
حضان,2,حضان
غالية,6,غالية
الجونة,4,الجونة
هكذا,92,هكذا
يتعاون,4,يتعاون
مع,3437,مع
بشارالبعثي,2,بشارالبعثي
العلوي,4,العلوي
ومرتزقة,7,ومرتزقة
إيرانو,2,إيرانو
أفغانستان,12,أفغانستان
والعراق,68,والعراق
ويقودهمملحد,2,ويقودهمملحد
صليبي,3,صليبي
روسي,33,روسي
لقصفأطفالنا,2,لقصفأطفالنا
بعدك,15,بعدك
بالي,28,بالي
فيروز,157,فيروز
اليمنية,197,اليمنية
|,2701,|
نائب,76,نائب
تحضيرية,3,تحضيرية
حضرموت,13,حضرموت
الجامع,11,الجامع
يؤكد,101,يؤكد
دور,178,دور
الإعلام,145,الإعلام
إنجاح,3,إنجاح
المؤتمر,70,المؤتمر
جاكيت,5,جاكيت
غوتشي,269,غوتشي
وجاكيت,4,وجاكيت
غبانا,2,غبانا
الاتحاد,149,الاتحاد
الاهلي,167,الاهلي
“,479,“
القطرية,59,القطرية
”,589,”
تلزم,6,تلزم
برشلونة,289,برشلونة
باللعب,6,باللعب
أمام,323,أمام
النصر,222,النصر
الهلال,184,الهلال
1,2478,1
عبدالله,161,عبدالله
شعبك,8,شعبك
يحبك,13,يحبك
الملك,409,الملك
اسأل,55,اسأل
ملكه,7,ملكه
مقيم,8,مقيم
وفي,236,وفي
جلاله,3,جلاله
عظيم,67,عظيم
وعلى,127,وعلى
عباده,2,عباده
رحيم,6,رحيم
وبكل,18,وبكل
شئ,74,شئ
عليم,2,عليم
يشفيك,5,يشفيك
انتي,96,انتي
ممحونه,7,ممحونه
تنزلي,4,تنزلي
صور,184,صور
ولاد,63,ولاد
وتقولي,9,وتقولي
هييييح,4,هييييح
erdogan,16,erdogan
is,50,is
isis,12,isis
اردوغان,179,اردوغان
الأرعن,3,الأرعن
لاتنسىواذا,2,لاتنسىواذا
نسيت,49,نسيت
سنذكرك,2,سنذكرك
نحن,292,نحن
الحشد,39,الحشد
الشعبي,39,الشعبي
شجاعتنا,2,شجاعتنا
حمزة,22,حمزة
وعلي,35,وعلي
والحسين,4,والحسين
فيدرر,279,فيدرر
الصرخي,9,الصرخي
الأمانة,7,الأمانة
منهجنا,4,منهجنا
السيستاني,6,السيستاني
خير,229,خير
خدم,6,خدم
وجود,116,وجود
الاحتلال,238,الاحتلال
العراق,605,العراق
جوجل,260,جوجل
تنشر,45,تنشر
قائمة,150,قائمة
أجهزة,32,أجهزة
نيكسس,2,نيكسس
التي,850,التي
ستحصل,2,ستحصل
تحديث,41,تحديث
أندرويد,176,أندرويد
7,320,7
كلينتون,101,كلينتون
تاني,118,تاني
مناظرة,25,مناظرة
كمان,164,كمان
شوية,100,شوية
لما,643,لما
نضحك,8,نضحك
حبة,9,حبة
D,69,D
لمحبي,3,لمحبي
الأدب,23,الأدب
والروايات,2,والروايات
والقصص,2,والقصص
معرض,178,معرض
الكويت,468,الكويت
الدولي,405,الدولي
للكتاب,95,للكتاب
الصالة,8,الصالة
رقم,146,رقم
5,350,5
جناح,56,جناح
34,38,34
منو,36,منو
يعرف,99,يعرف
عايله,2,عايله
محتاجة,14,محتاجة
أو,616,أو
اليمن,904,اليمن
الوالد,14,الوالد
يعطيه,6,يعطيه
العافية,8,العافية
تبرع,6,تبرع
بمبلغ,10,بمبلغ
بسيط,25,بسيط
ماله,24,ماله
يقدر,55,يقدر
10000,5,10000
دولار,140,دولار
لوجه,7,لوجه
بالفيديو,235,بالفيديو
دعاية,11,دعاية
جهاز,35,جهاز
ايفون,164,ايفون
أجمل,66,أجمل
مارأيت,2,مارأيت
ولااروع,2,ولااروع
سلام,81,سلام
وحب,14,وحب
لقيثارة,2,لقيثارة
الروح,23,الروح
كل,2632,كل
سنة,312,سنة
وانت,150,وانت
طيبة,34,طيبة
نص,72,نص
اكاونتات,4,اكاونتات
هاري,303,هاري
بوتر,298,بوتر
دارولي,4,دارولي
فولو,26,فولو
خبير,31,خبير
أمريكي,49,أمريكي
خلق,80,خلق
القاعدة,72,القاعدة
هي,884,هي
إسرائيل,311,إسرائيل
أمريكا,181,أمريكا
المجتمع,229,المجتمع
يدين,28,يدين
الهجوم,32,الهجوم
الإرهابي,108,الإرهابي
استهدف,8,استهدف
مجندين,2,مجندين
عدن,61,عدن
ومركز,5,ومركز
سلمان,833,سلمان
يتكفل,9,يتكفل
بعلاج,6,بعلاج
الجرحى,5,الجرحى
الغد,33,الغد
المشرق,10,المشرق
فيتو,58,فيتو
شاهد,453,شاهد
عاجللحماية,2,عاجللحماية
آثارنا,4,آثارنا
توقع,41,توقع
اتفاقية,90,اتفاقية
الولايات,189,الولايات
المتحدة,465,المتحدة
التفاصيل,155,التفاصيل
يقال,42,يقال
صدور,27,صدور
مذكرة,7,مذكرة
تفسيرية,2,تفسيرية
للإعلان,3,للإعلان
الدستوري,22,الدستوري
ضحك,36,ضحك
الذقون,3,الذقون
بلجيكا,13,بلجيكا
تندد,3,تندد
بمصادقة,2,بمصادقة
بناء,97,بناء
98,14,98
وحدة,72,وحدة
بالضفة,6,بالضفة
الغربية,57,الغربية
صوم,8,صوم
عاشوراء,80,عاشوراء
لمن,134,لمن
عليه,613,عليه
قضاء,38,قضاء
الإسلام,183,الإسلام
سؤال,117,سؤال
وجواب,8,وجواب
ويندوز,278,ويندوز
10,635,10
بيعمل,41,بيعمل
ابديت,10,ابديت
بخرب,4,بخرب
بدل,67,بدل
بحسن,9,بحسن
أمل,50,أمل
الجمل,21,الجمل
الشتا,11,الشتا
فات,24,فات
وشتاءات,2,وشتاءات
أخرى,78,أخرى
مقبلة,6,مقبلة
الأمم,238,الأمم
تدين,35,تدين
شرعنة,5,شرعنة
الكنيست,8,الكنيست
للبؤر,2,للبؤر
الاستيطانيةالرابط,2,الاستيطانيةالرابط
البديل,68,البديل
t,65,t
co,56,co
MJF0MJvLXb,2,MJF0MJvLXb
صحيفة,158,صحيفة
خليجية,40,خليجية
تجهيز,12,تجهيز
100,74,100
ألف,145,ألف
عسكري,96,عسكري
لتحرير,20,لتحرير
صنعاء,95,صنعاء
حماة,27,حماة
طيران,23,طيران
الروسي,141,الروسي
يشن,21,يشن
غارات,15,غارات
جوية,16,جوية
الساعة,130,الساعة
30,359,30
ص,27,ص
الاحياء,16,الاحياء
السكنية,10,السكنية
مدينة,217,مدينة
اللطامنة,2,اللطامنة
ريف,39,ريف
الشمالي,27,الشمالي
حلو,70,حلو
ريكى,14,ريكى
بت,12,بت
بتحبيه,3,بتحبيه
صح,141,صح
طلع,146,طلع
لامؤاخذة,3,لامؤاخذة
اهو,40,اهو
زور,10,زور
إخلاء,9,إخلاء
سبيل,48,سبيل
سما,36,سما
المصرى,106,المصرى
وتغريمها,2,وتغريمها
20,171,20
جنيه,117,جنيه
فى,2237,فى
قضية,186,قضية
بث,303,بث
قناة,420,قناة
فلول,25,فلول
عمرو,337,عمرو
أديب,117,أديب
عامل,60,عامل
حلقه,6,حلقه
جامده,2,جامده
عشان,720,عشان
يشجع,15,يشجع
المنتج,12,المنتج
المصري,632,المصري
جايب,27,جايب
باتا,4,باتا
وسافو,2,وسافو
والشركات,2,والشركات
القديمه,7,القديمه
نسيناها,2,نسيناها
المهم,82,المهم
بقي,150,بقي
يوسف,187,يوسف
الحسيني,50,الحسيني
يفضح,27,يفضح
كذب,75,كذب
الجزيرة,279,الجزيرة
ويكشف,27,ويكشف
تمثيل,31,تمثيل
الاخوان,419,الاخوان
الموتي,8,الموتي
تحت,314,تحت
اشراف,19,اشراف
أرقام,31,أرقام
روجر,64,روجر
بعد,2231,بعد
وصوله,7,وصوله
سن,17,سن
ال,536,ال
اعلام,92,اعلام
العار,58,العار
ساند,7,ساند
منتخب,541,منتخب
غانا,479,غانا
لينسب,2,لينسب
الفوز,85,الفوز
لسيسي,6,لسيسي
فخسرنا,2,فخسرنا
بالستة,6,بالستة
وتجاهل,4,وتجاهل
الاهلى,33,الاهلى
كرها,12,كرها
ابو,270,ابو
تريكه,14,تريكه
ففزنا,2,ففزنا
بكاس,13,بكاس
وهو,443,وهو
عالق,3,عالق
الانقاض,2,الانقاض
بجانب,23,بجانب
جثمان,3,جثمان
أخيه,9,أخيه
يحالون,3,يحالون
اسعافهوكأن,2,اسعافهوكأن
حال,149,حال
لسانه,18,لسانه
أنا,418,أنا
أموت,6,أموت
أنت,189,أنت
تعجز,5,تعجز
الكلمات,15,الكلمات
وصف,34,وصف
معانات,2,معانات
لن,615,لن
تعيدونا,2,تعيدونا
إلى,1138,إلى
الظلام,17,الظلام
الأحضان,2,الأحضان
نبني,7,نبني
ليبيا,711,ليبيا
رغم,189,رغم
المفخخات,2,المفخخات
الانفجارات,4,الانفجارات
الرياض,212,الرياض
جدة,75,جدة
يوافق,24,يوافق
الاعتراف,10,الاعتراف
بتهمة,54,بتهمة
الإرهاب,302,الإرهاب
ولاية,54,ولاية
أريزونا,2,أريزونا
الأمريكية,106,الأمريكية
الخبر,80,الخبر
الدمام,25,الدمام
مكة,123,مكة
ريال,552,ريال
مدريد,526,مدريد
نادي,138,نادي
فخم,13,فخم
مااشجعه,2,مااشجعه
بس,1143,بس
مدري,42,مدري
شفيني,2,شفيني
احمد,381,احمد
الشيخ,831,الشيخ
عمل,231,عمل
اية,24,اية
الاصابة,8,الاصابة
الاخيرة,58,الاخيرة
حركة,71,حركة
المرور,14,المرور
كثيفة,5,كثيفة
اوتوستراد,4,اوتوستراد
المطار,24,المطار
باتجاه,40,باتجاه
الانفاق,8,الانفاق
وصولا,6,وصولا
الى,1022,الى
خلدة,2,خلدة
دون,243,دون
عوائق,7,عوائق
لبنان,786,لبنان
الآن,401,الآن
اثنين,26,اثنين
هذا,1506,هذا
الزمن,49,الزمن
يعيشون,15,يعيشون
راعي,22,راعي
الضمير,17,الضمير
ومن,375,ومن
الصراحة,19,الصراحة
حقيقه,25,حقيقه
الصحافية,2,الصحافية
ميشيل,21,ميشيل
جبران,173,جبران
تويني,150,تويني
طريقة,101,طريقة
التعاطي,9,التعاطي
الوزارات,6,الوزارات
وكأنها,17,وكأنها
حصص,3,حصص
طائفية,17,طائفية
يملكها,4,يملكها
الأطراف,42,الأطراف
مهزلة,14,مهزلة
ووقاحة,2,ووقاحة
مقبولة,6,مقبولة
تحالف,23,تحالف
الجميع,113,الجميع
فمن,34,فمن
يحاسبهم,2,يحاسبهم
تعرضت,18,تعرضت
لكل,240,لكل
معسكر,19,معسكر
أخر,52,أخر
قانون,132,قانون
العزل,18,العزل
وواجهته,2,وواجهته
وفندت,2,وفندت
زيفه,2,زيفه
أرى,24,أرى
نفسي,144,نفسي
كتلة,12,كتلة
ثالثة,11,ثالثة
ليست,174,ليست
عودة,98,عودة
النظام,285,النظام
القديم,38,القديم
ولا,1698,ولا
هيمنة,12,هيمنة
فصيل,16,فصيل
واحد,607,واحد
البيض,12,البيض
والطماطم,2,والطماطم
نفذت,10,نفذت
دلجا,4,دلجا
الاهالى,2,الاهالى
اشتروها,3,اشتروها
انتظارا,2,انتظارا
لوصول,6,لوصول
صباحى,51,صباحى
واتباعه,3,واتباعه
لافروف,176,لافروف
واشنطن,220,واشنطن
سحبت,18,سحبت
اقتراحاتها,2,اقتراحاتها
بشأن,160,بشأن
تسوية,16,تسوية
الأزمة,141,الأزمة
كيف,497,كيف
تسعد,3,تسعد
أسرتك,2,أسرتك
الأعياد,12,الأعياد
إنفاق,2,إنفاق
قرش,4,قرش
Christmas,104,Christmas
نوربرت,6,نوربرت
هوفر,8,هوفر
اليمين,173,اليمين
المتطرف,170,المتطرف
بات,15,بات
حقيقة,131,حقيقة
قاتمة,2,قاتمة
بلدان,45,بلدان
عدة,48,عدة
وهناك,32,وهناك
تحديات,27,تحديات
كبيرة,118,كبيرة
تنتظرنا,4,تنتظرنا
القوية,10,القوية
11,675,11
حذرنا,8,حذرنا
خطر,87,خطر
تحول,45,تحول
سلطات,19,سلطات
الدولة,305,الدولة
لمجرد,24,لمجرد
سند,179,سند
لسلطة,11,لسلطة
عسكرية,66,عسكرية
تفهم,24,تفهم
سياسة,68,سياسة
تعي,7,تعي
معنى,46,معنى
ومهامها,2,ومهامها
وحدودها,2,وحدودها
خارج,150,خارج
فكرة,110,فكرة
حمل,43,حمل
السلاح,39,السلاح
شام,8,شام
تغني,16,تغني
حرس,6,حرس
المرشح,67,المرشح
الامريكي,61,الامريكي
الجديد,190,الجديد
يمزقون,2,يمزقون
العلم,61,العلم
العراقي,36,العراقي
اثناء,42,اثناء
تجمع,36,تجمع
مؤيدين,11,مؤيدين
للرئيس,82,للرئيس
القادم,104,القادم
(,2199,(
لأول,96,لأول
مرة,330,مرة
حياتي,92,حياتي
بشعر,4,بشعر
بعدم,39,بعدم
الرغبة,9,الرغبة
بمشاهدة,4,بمشاهدة
لآخرو,4,لآخرو
يقف,43,يقف
الحياد,28,الحياد
الحق,121,الحق
الباطل,34,الباطل
فهو,80,فهو
عندما,329,عندما
ينتهي,23,ينتهي
شيء,277,شيء
تذكر,21,تذكر
شيئا,58,شيئا
كلمات,51,كلمات
أعدائك,4,أعدائك
لكن,618,لكن
صمت,19,صمت
أصدقائك,4,أصدقائك
سيترك,8,سيترك
أثرا,5,أثرا
يزول,10,يزول
أيران,13,أيران
القبض,57,القبض
أيراني,2,أيراني
تابع,65,تابع
للحرس,3,للحرس
الثوري,32,الثوري
حاول,45,حاول
تفجير,34,تفجير
حسينية,5,حسينية
العراقحقيقة,2,العراقحقيقة
المجوسية,5,المجوسية
أخص,2,أخص
بالشكر,14,بالشكر
د,247,د
محمد,4073,محمد
البلتاجى,4,البلتاجى
الذى,110,الذى
المت,2,المت
به,332,به
أزمة,516,أزمة
صحية,7,صحية
لجهوده,3,لجهوده
تجميع,11,تجميع
الصف,27,الصف
الوطنى,18,الوطنى
لتأسيسية,2,لتأسيسية
الدستور,123,الدستور
وأسألكم,2,وأسألكم
الدعاء,56,الدعاء
لرجل,11,لرجل
وطنى,20,وطنى
بحق,69,بحق
بريطانيا,219,بريطانيا
تحظر,8,تحظر
ساعة,197,ساعة
أبل,226,أبل
الذكية,30,الذكية
داخل,159,داخل
الاجتماعات,3,الاجتماعات
الرسمية,50,الرسمية
حذرت,8,حذرت
رئاسة,43,رئاسة
الوزراء,126,الوزراء
البريطانية,44,البريطانية
جميع,323,جميع
المسؤولي,2,المسؤولي
واضح,153,واضح
كلام,238,كلام
الناس,612,الناس
مدرب,116,مدرب
بوذا,6,بوذا
اسوأ,14,اسوأ
تاتا,4,تاتا
مارتينو,4,مارتينو
المدرب,43,المدرب
ده,808,ده
اول,367,اول
عارف,137,عارف
مصاب,22,مصاب
قولت,24,قولت
ملوش,14,ملوش
فيها,578,فيها
اللبناني,60,اللبناني
يتسلم,5,يتسلم
طائرة,60,طائرة
قتالية,7,قتالية
مقدمة,23,مقدمة
هبة,14,هبة
السلطات,37,السلطات
الأميركية,42,الأميركية
Lebanon,13,Lebanon
ابي,90,ابي
كتاب,109,كتاب
نقلنا,4,نقلنا
بيتنا,38,بيتنا
ذا,81,ذا
ضاع,19,ضاع
الصندوق,31,الصندوق
الي,663,الي
فيه,667,فيه
كتبي,4,كتبي
تصل,51,تصل
مطلقا,4,مطلقا
كأس,3442,كأس
العالم,8531,العالم
الا,600,الا
الديمقراطية,77,الديمقراطية
بلد,135,بلد
تقتل,30,تقتل
ناسها,2,ناسها
وتلاحق,2,وتلاحق
جمهورها,15,جمهورها
العاشق,2,العاشق
للكرة,9,للكرة
وزراء,101,وزراء
الموقر,3,الموقر
نفط,24,نفط
يتم,133,يتم
نهبه,2,نهبه
حقلي,3,حقلي
علاس,2,علاس
وحقل,3,وحقل
عجيل,2,عجيل
صلاح,2979,صلاح
الدينرسالة,2,الدينرسالة
احد,201,احد
العراقيين,21,العراقيين
الغياري,2,الغياري
ارسلها,2,ارسلها
اليوم,1492,اليوم
للغة,23,للغة
العربية,697,العربية
يفترض,7,يفترض
لها,407,لها
يوم,912,يوم
وكل,221,وكل
لغة,30,لغة
نتلوه,2,نتلوه
يوميا,31,يوميا
التعليم,68,التعليم
المدرسي,8,المدرسي
العبادات,3,العبادات
امة,17,امة
الخير,195,الخير
سخرية,27,سخرية
تعيين,16,تعيين
رجل,163,رجل
وزيرا,23,وزيرا
لشؤون,15,لشؤون
المرأة,102,المرأة
إذا,237,إذا
كان,1717,كان
المتحدث,35,المتحدث
باسم,214,باسم
التحالف,296,التحالف
عسيري,18,عسيري
أعلن,62,أعلن
عدم,153,عدم
تجديد,15,تجديد
الهدنة,52,الهدنة
أي,358,أي
أطراف,11,أطراف
يتحدث,69,يتحدث
كيري,211,كيري
أم,162,أم
محاولة,88,محاولة
لواء,14,لواء
القدس,276,القدس
الفلسطيني,33,الفلسطيني
يقوم,76,يقوم
بمساعدة,14,بمساعدة
شبيحة,4,شبيحة
أجل,202,أجل
تحرير,70,تحرير
وليس,228,وليس
القدسعرفتوا,2,القدسعرفتوا
ليش,129,ليش
تحررت,5,تحررت
عرب,57,عرب
مقبرة,15,مقبرة
المجوس,26,المجوس
مايكروسوفت,30,مايكروسوفت
تطلق,51,تطلق
نسخة,69,نسخة
معاينة,6,معاينة
جديدة,232,جديدة
نظام,243,نظام
الاخبار,51,الاخبار
التقنية,24,التقنية
تشكيل,97,تشكيل
الأحزاب,19,الأحزاب
حوار,90,حوار
ونفس,13,ونفس
الحال,41,الحال
بالنسبة,83,بالنسبة
لقانون,4,لقانون
مباشرة,72,مباشرة
الحياة,218,الحياة
السياسية,112,السياسية
يقلص,3,يقلص
مضمون,9,مضمون
وطني,74,وطني
ويفقده,2,ويفقده
جانب,51,جانب
كبير,238,كبير
مصداقيته,4,مصداقيته
ليه,328,ليه
يوصلوا,5,يوصلوا
الواحد,89,الواحد
إنه,96,إنه
يكره,9,يكره
عيشته,4,عيشته
واليوم,68,واليوم
إللي,105,إللي
إتولد,2,إتولد
ثانوية,12,ثانوية
عامة,40,عامة
علمونا,4,علمونا
اى,100,اى
والله,628,والله
اسلوب,29,اسلوب
حياة,69,حياة
البوب,21,البوب
ستار,24,ستار
رامي,161,رامي
عياش,156,عياش
بسينما,2,بسينما
ميغاراما,2,ميغاراما
بالدار,2,بالدار
البيضاء,24,البيضاء
حفلة,23,حفلة
الطفوله,4,الطفوله
أمير,136,أمير
الليل,67,الليل
بوب,171,بوب
أبو,206,أبو
أرام,6,أرام
التجارة,26,التجارة
إحالة,11,إحالة
الشركة,29,الشركة
العقارية,2,العقارية
المتورطة,7,المتورطة
بغسل,4,بغسل
الأموال,34,الأموال
تحريات,4,تحريات
قوات,131,قوات
هواتف,25,هواتف
المارة,6,المارة
وتقوم,6,وتقوم
بتصفح,2,بتصفح
موقع,175,موقع
الخاص,61,الخاص
بهم,57,بهم
حاجز,21,حاجز
مدخل,11,مدخل
قرية,35,قرية
عابود,2,عابود
صباح,205,صباح
–,194,–
نجوم,115,نجوم
مصرية,556,مصرية
تاريخ,215,تاريخ
مباراة,1247,مباراة
واليابان,9,واليابان
القادمة,116,القادمة
تصفيات,4402,تصفيات
كاس,1686,كاس
اتهام,18,اتهام
شركة,154,شركة
بالاحتيال,6,بالاحتيال
المستخدمين,16,المستخدمين
جند,16,جند
الأقصى,49,الأقصى
سابقا,46,سابقا
تريد,96,تريد
حقن,5,حقن
الدم,64,الدم
وتقدر,5,وتقدر
جرح,7,جرح
الشام,87,الشام
االأول,2,االأول
وهمها,2,وهمها
الأول,214,الأول
فك,32,فك
حصار,1013,حصار
واستمرار,4,واستمرار
معركة,78,معركة
حماةلذلك,2,حماةلذلك
هاجمت,14,هاجمت
نقاط,58,نقاط
للأحراربتحتا,2,للأحراربتحتا
قالت,113,قالت
نوال,167,نوال
الزغبي,147,الزغبي
لابقلها,2,لابقلها
هاللقب,2,هاللقب
فرحوا,5,فرحوا
فانزها,2,فانزها
ياخدوها,2,ياخدوها
اهانة,5,اهانة
مش,1474,مش
ثناء,3,ثناء
صوت,194,صوت
الهدوء,12,الهدوء
أعجبني,35,أعجبني
فيديو,450,فيديو
استياء,5,استياء
واسع,17,واسع
الامارات,154,الامارات
دبي,118,دبي
الجبيل,4,الجبيل
تسويق,7,تسويق
09,6,09
54,10,54
بقول,25,بقول
اهلي,17,اهلي
مانشستر,14,مانشستر
يونايتد,27,يونايتد
القي,2,القي
