emoticon,english_translation,arabic_translation
🇬 🇲,Gambia,غامبيا
♊,Gemini,الجوزاء
🇬 🇪,Georgia,جورجيا
🇩 🇪,Germany,ألمانيا
🇬 🇭,Ghana,غانا
🇬 🇮,Gibraltar,جبل طارق
🇬 🇷,Greece,اليونان
🇬 🇱,Greenland,الأرض الخضراء
🇬 🇩,Grenada,غرينادا
🇬 🇵,Guadeloupe,جوادلوب
🇬 🇺,Guam,غوام
🇬 🇹,Guatemala,غواتيمالا
🇬 🇬,Guernsey,غيرنسي
🇬 🇳,Guinea,غينيا
🇬 🇼,Guinea-Bissau,غينيا بيساو
🇬 🇾,Guyana,غيانا
🇭 🇹,Haiti,هايتي
🇭 🇲,Heard_&_McDonald_Islands,جزر هيرد وماكدونالد
🇭 🇳,Honduras,هندوراس
🇭 🇰,Hong_Kong_SAR_China,منطقة هونغ كونغ الإدارية الخاصة بالصين
🇭 🇺,Hungary,هنغاريا
🆔,ID_button,زر ID
🇮 🇸,Iceland,أيسلندا
🇮 🇳,India,الهند
🇮 🇩,Indonesia,إندونيسيا
🇮 🇷,Iran,إيران
🇮 🇶,Iraq,العراق
🇮 🇪,Ireland,أيرلندا
🇮 🇲,Isle_of_Man,جزيرة آيل أوف مان
🇮 🇱,Israel,إسرائيل
🇮 🇹,Italy,إيطاليا
🇯 🇲,Jamaica,جامايكا
🇯 🇵,Japan,اليابان
🉑,Japanese_acceptable_button,الزر الياباني المقبول
🈸,Japanese_application_button,زر التطبيق الياباني
🉐,Japanese_bargain_button,زر الصفقة اليابانية
🏯,Japanese_castle,قلعة يابانية
㊗,Japanese_congratulations_button,زر التهاني اليابانية
🈹,Japanese_discount_button,زر الخصم الياباني
🎎,Japanese_dolls,الدمى اليابانية
🈚,Japanese_free_of_charge_button,زر مجاني ياباني
🈁,Japanese_here_button,الزر الياباني هنا
🈷,Japanese_monthly_amount_button,زر المبلغ الشهري الياباني
🈵,Japanese_no_vacancy_button,زر عدم وجود وظيفة شاغرة باليابانية
🈶,Japanese_not_free_of_charge_button,الزر الياباني ليس مجانيًا
🈺,Japanese_open_for_business_button,زر فتح الأعمال اليابانية
🈴,Japanese_passing_grade_button,زر درجة النجاح الياباني
🏣,Japanese_post_office,مكتب البريد الياباني
🈲,Japanese_prohibited_button,الزر الياباني المحظور
🈯,Japanese_reserved_button,الزر الياباني المحجوز
㊙,Japanese_secret_button,الزر السري الياباني
🈂,Japanese_service_charge_button,زر رسوم الخدمة اليابانية
🔰,Japanese_symbol_for_beginner,رمز ياباني للمبتدئين
🈳,Japanese_vacancy_button,زر الوظيفة اليابانية
🇯 🇪,Jersey,جيرسي
🇯 🇴,Jordan,الأردن
🇰 🇿,Kazakhstan,كازاخستان
🇰 🇪,Kenya,كينيا
🇰 🇮,Kiribati,كيريباتي
🇽 🇰,Kosovo,كوسوفو
🇰 🇼,Kuwait,الكويت
🇰 🇬,Kyrgyzstan,قيرغيزستان
🇱 🇦,Laos,لاوس
🇱 🇻,Latvia,لاتفيا
🇱 🇧,Lebanon,لبنان
♌,Leo,ليو
🇱 🇸,Lesotho,ليسوتو
🇱 🇷,Liberia,ليبيريا
♎,Libra,الميزان
🇱 🇾,Libya,ليبيا
🇱 🇮,Liechtenstein,ليختنشتاين
🇱 🇹,Lithuania,ليتوانيا
🇱 🇺,Luxembourg,لوكسمبورغ
🇲 🇴,Macau_SAR_China,منطقة ماكاو الإدارية الخاصة ، الصين
🇲 🇰,Macedonia,مقدونيا
🇲 🇬,Madagascar,مدغشقر
🇲 🇼,Malawi,ملاوي
🇲 🇾,Malaysia,ماليزيا
🇲 🇻,Maldives,جزر المالديف
🇲 🇱,Mali,مالي
🇲 🇹,Malta,مالطا
🇲 🇭,Marshall_Islands,جزر مارشال
🇲 🇶,Martinique,مارتينيك
🇲 🇷,Mauritania,موريتانيا
🇲 🇺,Mauritius,موريشيوس
🇾 🇹,Mayotte,مايوت
🇲 🇽,Mexico,المكسيك
🇫 🇲,Micronesia,ميكرونيزيا
🇲 🇩,Moldova,مولدوفا
🇲 🇨,Monaco,موناكو
🇲 🇳,Mongolia,منغوليا
🇲 🇪,Montenegro,الجبل الأسود
🇲 🇸,Montserrat,مونتسيرات
🇲 🇦,Morocco,المغرب
🇲 🇿,Mozambique,موزمبيق
🤶,Mrs._Claus,السيدة كلوز
🤶 🏿,Mrs._Claus_dark_skin_tone,السيدة كلوز بلون بشرة داكن
🤶 🏻,Mrs._Claus_light_skin_tone,السيدة كلوز بشرة فاتحة اللون
🤶 🏾,Mrs._Claus_medium-dark_skin_tone,السيدة كلوز لون بشرة متوسط ​​الغامق
🤶 🏼,Mrs._Claus_medium-light_skin_tone,السيدة كلوز لون بشرة متوسط ​​فاتح
🤶 🏽,Mrs._Claus_medium_skin_tone,السيدة كلوز لون بشرة متوسط
🇲 🇲,Myanmar_(Burma),ميانمار (بورما)
🆕,NEW_button,زر جديد
🆖,NG_button,زر NG
🇳 🇦,Namibia,ناميبيا
🇳 🇷,Nauru,ناورو
🇳 🇵,Nepal,نيبال
🇳 🇱,Netherlands,هولندا
🇳 🇨,New_Caledonia,كاليدونيا الجديدة
🇳 🇿,New_Zealand,نيوزيلندا
🇳 🇮,Nicaragua,نيكاراغوا
🇳 🇪,Niger,النيجر
🇳 🇬,Nigeria,نيجيريا
🇳 🇺,Niue,نيوي
🇳 🇫,Norfolk_Island,جزيرة نورفولك
🇰 🇵,North_Korea,كوريا الشمالية
🇲 🇵,Northern_Mariana_Islands,جزر مريانا الشمالية
🇳 🇴,Norway,النرويج
🆗,OK_button,زر موافق
👌,OK_hand,حسنا اليد
👌 🏿,OK_hand_dark_skin_tone,موافق اليد لهجة البشرة الداكنة
👌 🏻,OK_hand_light_skin_tone,موافق اليد لهجة البشرة الفاتحة
👌 🏾,OK_hand_medium-dark_skin_tone,موافق اليد لهجة البشرة المتوسطة الغامقة
👌 🏼,OK_hand_medium-light_skin_tone,موافق اليد لون بشرة متوسط ​​فاتح
👌 🏽,OK_hand_medium_skin_tone,موافق جهة متوسطة لون البشرة
🔛,ON!_arrow,على! سهم
🅾,O_button_(blood_type),زر O (فصيلة الدم)
🇴 🇲,Oman,سلطنة عمان
⛎,Ophiuchus,أوفيوكس
🅿,P_button,زر P
🇵 🇰,Pakistan,باكستان
🇵 🇼,Palau,بالاو
🇵 🇸,Palestinian_Territories,الاراضي الفلسطينية
🇵 🇦,Panama,بنما
🇵 🇬,Papua_New_Guinea,بابوا غينيا الجديدة
🇵 🇾,Paraguay,باراغواي
🇵 🇪,Peru,بيرو
🇵 🇭,Philippines,الفلبين
♓,Pisces,برج الحوت
🇵 🇳,Pitcairn_Islands,جزر بيتكيرن
🇵 🇱,Poland,بولندا
🇵 🇹,Portugal,البرتغال
🇵 🇷,Puerto_Rico,بورتوريكو
🇶 🇦,Qatar,دولة قطر
🇷 🇴,Romania,رومانيا
🇷 🇺,Russia,روسيا
🇷 🇼,Rwanda,رواندا
🇷 🇪,Réunion,جمع شمل
🔜,SOON_arrow,قريباً السهم
🆘,SOS_button,زر SOS
♐,Sagittarius,برج القوس
🇼 🇸,Samoa,ساموا
🇸 🇲,San_Marino,سان مارينو
🎅,Santa_Claus,بابا نويل
🎅 🏿,Santa_Claus_dark_skin_tone,لون البشرة الداكن سانتا كلوز
🎅 🏻,Santa_Claus_light_skin_tone,لون بشرة سانتا كلوز فاتح
🎅 🏾,Santa_Claus_medium-dark_skin_tone,لون بشرة سانتا كلوز متوسط ​​إلى غامق
🎅 🏼,Santa_Claus_medium-light_skin_tone,لون بشرة سانتا كلوز فاتح ومتوسط
🎅 🏽,Santa_Claus_medium_skin_tone,لون بشرة سانتا كلوز متوسط
🇸 🇦,Saudi_Arabia,المملكة العربية السعودية
♏,Scorpius,برج العقرب
🇸 🇳,Senegal,السنغال
🇷 🇸,Serbia,صربيا
🇸 🇨,Seychelles,سيشيل
🇸 🇱,Sierra_Leone,سيرا ليون
🇸 🇬,Singapore,سنغافورة
🇸 🇽,Sint_Maarten,سينت مارتن
🇸 🇰,Slovakia,سلوفاكيا
🇸 🇮,Slovenia,سلوفينيا
🇸 🇧,Solomon_Islands,جزر سليمان
🇸 🇴,Somalia,الصومال
🇿 🇦,South_Africa,جنوب أفريقيا
🇬 🇸,South_Georgia_&_South_Sandwich_Islands,جزر جورجيا الجنوبية وساندويتش الجنوبية
🇰 🇷,South_Korea,كوريا الجنوبية
🇸 🇸,South_Sudan,جنوب السودان
🇪 🇸,Spain,إسبانيا
🇱 🇰,Sri_Lanka,سيريلانكا
🇧 🇱,St._Barthélemy,سانت بارتيليمي
🇸 🇭,St._Helena,سانت هيلانة
🇰 🇳,St._Kitts_&_Nevis,سانت كيتس ونيفيس
🇱 🇨,St._Lucia,شارع لوسيا
🇲 🇫,St._Martin,سانت مارتن
🇵 🇲,St._Pierre_&_Miquelon,سانت بيير وميكلون
🇻 🇨,St._Vincent_&_Grenadines,سانت فنسنت وجزر غرينادين
🗽,Statue_of_Liberty,تمثال الحرية
🇸 🇩,Sudan,السودان
🇸 🇷,Suriname,سورينام
🇸 🇯,Svalbard_&_Jan_Mayen,سفالبارد وجان ماين
🇸 🇿,Swaziland,سوازيلاند
🇸 🇪,Sweden,السويد
🇨 🇭,Switzerland,سويسرا
🇸 🇾,Syria,سوريا
🇸 🇹,São_Tomé_&_Príncipe,ساو تومي وبرينسيبي
🔝,TOP_arrow,السهم العلوي
🇹 🇼,Taiwan,تايوان
🇹 🇯,Tajikistan,طاجيكستان
🇹 🇿,Tanzania,تنزانيا
♉,Taurus,الثور
🇹 🇭,Thailand,تايلاند
🇹 🇱,Timor-Leste,تيمور ليشتي
🇹 🇬,Togo,توجو
🇹 🇰,Tokelau,توكيلاو
🗼,Tokyo_tower,برج طوكيو
🇹 🇴,Tonga,تونغا
🇹 🇹,Trinidad_&_Tobago,ترينيداد وتوباجو
🇹 🇦,Tristan_da_Cunha,تريستان دا كونها
🇹 🇳,Tunisia,تونس
🇹 🇷,Turkey,ديك رومي
🇹 🇲,Turkmenistan,تركمانستان
🇹 🇨,Turks_&_Caicos_Islands,جزر تركس وكايكوس
🇹 🇻,Tuvalu,توفالو
🇺 🇲,U.S._Outlying_Islands,جزر الولايات المتحدة النائية
🇻 🇮,U.S._Virgin_Islands,جزر فيرجن الأمريكية
🆙,UP!_button,فوق! زر
🇺 🇬,Uganda,أوغندا
🇺 🇦,Ukraine,أوكرانيا
🇦 🇪,United_Arab_Emirates,الإمارات العربية المتحدة
🇬 🇧,United_Kingdom,المملكة المتحدة
🇺 🇳,United_Nations,الأمم المتحدة
🇺 🇸,United_States,الولايات المتحدة الأمريكية
🇺 🇾,Uruguay,أوروغواي
🇺 🇿,Uzbekistan,أوزبكستان
🆚,VS_button,زر VS
🇻 🇺,Vanuatu,فانواتو
🇻 🇦,Vatican_City,مدينة الفاتيكان
🇻 🇪,Venezuela,فنزويلا
🇻 🇳,Vietnam,فيتنام
♍,Virgo,العذراء
🇼 🇫,Wallis_&_Futuna,واليس وفوتونا
🇪 🇭,Western_Sahara,الصحراء الغربية
🇾 🇪,Yemen,اليمن
🇿 🇲,Zambia,زامبيا
🇿 🇼,Zimbabwe,زمبابوي
🎟,admission_tickets,تذاكر الدخول
🚡,aerial_tramway,الترام الجوي
✈,airplane,مطار
🛬,airplane_arrival,وصول الطائرة
🛫,airplane_departure,مغادرة الطائرة
⏰,alarm_clock,منبه
⚗,alembic,الإنبيق
👽,alien,كائن فضائي
👾,alien_monster,وحش فضائي
🚑,ambulance,سياره اسعاف
🏈,american_football,كرة القدم الأمريكية
🏺,amphora,أمفورا
⚓,anchor,مرساة
💢,anger_symbol,رمز الغضب
😠,angry_face,وجه غاضب
👿,angry_face_with_horns,وجه غاضب بقرون
😧,anguished_face,وجه حزين
🐜,ant,نملة
📶,antenna_bars,قضبان الهوائي
🔄,anticlockwise_arrows_button,زر الأسهم عكس اتجاه عقارب الساعة
🚛,articulated_lorry,شاحنة مفصلية
🎨,artist_palette,لوحة الفنان
😲,astonished_face,وجه مندهش
⚛,atom_symbol,رمز الذرة
🚗,automobile,سيارة
🥑,avocado,أفوكادو
👶,baby,طفل
👼,baby_angel,الطفل الملاك
👼 🏿,baby_angel_dark_skin_tone,ملاك الطفل لون البشرة الداكنة
👼 🏻,baby_angel_light_skin_tone,طفل الملاك لون البشرة الفاتح
👼 🏾,baby_angel_medium-dark_skin_tone,Baby Angel بلون بشرة متوسط ​​داكن
👼 🏼,baby_angel_medium-light_skin_tone,Baby Angel بلون بشرة متوسط ​​فاتح
👼 🏽,baby_angel_medium_skin_tone,طفل ملاك متوسط ​​لون البشرة
🍼,baby_bottle,زجاجة الطفل
🐤,baby_chick,طفل كتكوت
👶 🏿,baby_dark_skin_tone,طفل لون البشرة الداكنة
👶 🏻,baby_light_skin_tone,طفل لون بشرة فاتح
👶 🏾,baby_medium-dark_skin_tone,لون بشرة الطفل متوسط ​​إلى غامق
👶 🏼,baby_medium-light_skin_tone,لون بشرة الطفل متوسط ​​إلى فاتح
👶 🏽,baby_medium_skin_tone,طفل بشرة متوسطة
🚼,baby_symbol,رمز الطفل
👇,backhand_index_pointing_down,مؤشر اليد الخلفية يشير لأسفل
👇 🏿,backhand_index_pointing_down_dark_skin_tone,مؤشر اليد الخلفية يشير إلى لون البشرة الداكن
👇 🏻,backhand_index_pointing_down_light_skin_tone,مؤشر اليد الخلفية يشير إلى لون البشرة الفاتح
👇 🏾,backhand_index_pointing_down_medium-dark_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط ​​داكن
👇 🏼,backhand_index_pointing_down_medium-light_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط ​​إلى فاتح
👇 🏽,backhand_index_pointing_down_medium_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط
👈,backhand_index_pointing_left,مؤشر اليد الخلفية مشيرا إلى اليسار
👈 🏿,backhand_index_pointing_left_dark_skin_tone,مؤشر اليد الخلفية يشير إلى لون البشرة الداكن الأيسر
👈 🏻,backhand_index_pointing_left_light_skin_tone,مؤشر اليد الخلفية يشير إلى لون البشرة الفاتح الأيسر
👈 🏾,backhand_index_pointing_left_medium-dark_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط ​​داكن
👈 🏼,backhand_index_pointing_left_medium-light_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة فاتح متوسط ​​اليسار
👈 🏽,backhand_index_pointing_left_medium_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط ​​اليسار
👉,backhand_index_pointing_right,مؤشر اليد الخلفية يشير إلى اليمين
👉 🏿,backhand_index_pointing_right_dark_skin_tone,مؤشر اليد الخلفية يشير إلى لون البشرة الداكن الصحيح
👉 🏻,backhand_index_pointing_right_light_skin_tone,مؤشر اليد الخلفية يشير إلى لون البشرة الأيمن الفاتح
👉 🏾,backhand_index_pointing_right_medium-dark_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط ​​داكن يمينًا
👉 🏼,backhand_index_pointing_right_medium-light_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط ​​إلى اليمين
👉 🏽,backhand_index_pointing_right_medium_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط ​​اليمين
👆,backhand_index_pointing_up,مؤشر اليد الخلفية مشيرا لأعلى
👆 🏿,backhand_index_pointing_up_dark_skin_tone,مؤشر اليد الخلفية يشير إلى لون البشرة الداكن
👆 🏻,backhand_index_pointing_up_light_skin_tone,مؤشر اليد الخلفية يشير إلى لون البشرة الفاتح
👆 🏾,backhand_index_pointing_up_medium-dark_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط ​​الغامق
👆 🏼,backhand_index_pointing_up_medium-light_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط ​​إلى فاتح
👆 🏽,backhand_index_pointing_up_medium_skin_tone,مؤشر اليد الخلفية يشير إلى لون بشرة متوسط
🥓,bacon,لحم خنزير مقدد
🏸,badminton,تنس الريشة
🛄,baggage_claim,استلام الأمتعة
🥖,baguette_bread,خبز باجيت
⚖,balance_scale,مقياس التوازن
🎈,balloon,بالون
🗳,ballot_box_with_ballot,صندوق الاقتراع مع ورقة الاقتراع
☑,ballot_box_with_check,صندوق الاقتراع مع الشيك
🍌,banana,موز
🏦,bank,بنك
📊,bar_chart,شريط الرسم البياني
💈,barber_pole,حلاق القطب
⚾,baseball,البيسبول
🏀,basketball,كرة سلة
🦇,bat,مضرب
🛁,bathtub,حوض الاستحمام
🔋,battery,البطارية
🏖,beach_with_umbrella,الشاطئ مع مظلة
🐻,bear_face,وجه دب
💓,beating_heart,قلب نابض
🛏,bed,السرير
🍺,beer_mug,قدح البيرة
🔔,bell,جرس
🔕,bell_with_slash,الجرس مع القطع
🛎,bellhop_bell,الجرس الجرس
🍱,bento_box,مربع بينتو
🚲,bicycle,دراجة
👙,bikini,بيكيني
☣,biohazard,خطر حيوي
🐦,bird,طائر
🎂,birthday_cake,كعكة عيد الميلاد
⚫,black_circle,دائرة سوداء
🏴,black_flag,علم اسود
🖤,black_heart,قلب أسود
⬛,black_large_square,مربع كبير أسود
◾,black_medium-small_square,مربع أسود متوسط ​​صغير
◼,black_medium_square,مربع متوسط ​​أسود
✒,black_nib,المنقار الأسود
▪,black_small_square,مربع صغير أسود
🔲,black_square_button,زر مربع أسود
👱 ‍ ♂ ️,blond-haired_man,رجل أشقر
👱 🏿 ‍ ♂ ️,blond-haired_man_dark_skin_tone,الرجل الأشقر لون البشرة الداكنة
👱 🏻 ‍ ♂ ️,blond-haired_man_light_skin_tone,الرجل الأشقر لون البشرة الفاتح
👱 🏾 ‍ ♂ ️,blond-haired_man_medium-dark_skin_tone,الرجل ذو الشعر الأشقر متوسط ​​لون البشرة الداكن
👱 🏼 ‍ ♂ ️,blond-haired_man_medium-light_skin_tone,الرجل الأشقر متوسط ​​لون البشرة الفاتح
👱 🏽 ‍ ♂ ️,blond-haired_man_medium_skin_tone,الرجل الأشقر متوسط ​​لون البشرة
👱,blond-haired_person,شخص أشقر
👱 🏿,blond-haired_person_dark_skin_tone,الشخص ذو الشعر الأشقر بشرة داكنة اللون
👱 🏻,blond-haired_person_light_skin_tone,الشعر الأشقر بشرة فاتحة اللون
👱 🏾,blond-haired_person_medium-dark_skin_tone,الشعر الأشقر ذو لون بشرة متوسط ​​الغامق
👱 🏼,blond-haired_person_medium-light_skin_tone,الشعر الأشقر متوسط ​​لون البشرة الفاتح
👱 🏽,blond-haired_person_medium_skin_tone,متوسط ​​لون البشرة الأشقر
👱 ‍ ♀ ️,blond-haired_woman,امرأة أشقر الشعر
👱 🏿 ‍ ♀ ️,blond-haired_woman_dark_skin_tone,امرأة ذات الشعر الأشقر لون البشرة الداكن
👱 🏻 ‍ ♀ ️,blond-haired_woman_light_skin_tone,امرأة ذات الشعر الأشقر لون البشرة الفاتح
👱 🏾 ‍ ♀ ️,blond-haired_woman_medium-dark_skin_tone,امرأة ذات شعر أشقر متوسط ​​لون البشرة الداكن
👱 🏼 ‍ ♀ ️,blond-haired_woman_medium-light_skin_tone,امرأة ذات شعر أشقر متوسط ​​لون البشرة الفاتح
👱 🏽 ‍ ♀ ️,blond-haired_woman_medium_skin_tone,امرأة ذات شعر أشقر متوسط ​​لون البشرة
🌼,blossom,زهر
🐡,blowfish,السمكة المنتفخة
📘,blue_book,كتاب أزرق
🔵,blue_circle,دائرة زرقاء
💙,blue_heart,قلب ازرق
🐗,boar,خنزير
💣,bomb,قنبلة
🔖,bookmark,المرجعية
📑,bookmark_tabs,علامات التبويب المرجعية
📚,books,الكتب
🍾,bottle_with_popping_cork,زجاجة مع ظهرت الفلين
💐,bouquet,باقة أزهار
🏹,bow_and_arrow,القوس والسهم
🎳,bowling,البولينج
🥊,boxing_glove,قفازات الملاكمة
👦,boy,صبي
👦 🏿,boy_dark_skin_tone,فتى بشرة داكنة اللون
👦 🏻,boy_light_skin_tone,فتى بشرة فاتحة اللون
👦 🏾,boy_medium-dark_skin_tone,متوسط ​​لون بشرة الصبي غامق
👦 🏼,boy_medium-light_skin_tone,لون بشرة الصبي متوسط ​​فاتح
👦 🏽,boy_medium_skin_tone,فتى متوسط ​​لون البشرة
🍞,bread,خبز
👰,bride_with_veil,عروس بالحجاب
👰 🏿,bride_with_veil_dark_skin_tone,العروس مع الحجاب بشرة داكنة
👰 🏻,bride_with_veil_light_skin_tone,العروس مع الحجاب بلون البشرة الفاتح
👰 🏾,bride_with_veil_medium-dark_skin_tone,العروس ذات الحجاب بلون بشرة متوسط ​​داكن
👰 🏼,bride_with_veil_medium-light_skin_tone,العروس مع الحجاب لون البشرة المتوسط ​​الفاتح
👰 🏽,bride_with_veil_medium_skin_tone,العروس مع الحجاب بشرة متوسطة
🌉,bridge_at_night,جسر في الليل
💼,briefcase,حقيبة
🔆,bright_button,زر مشرق
💔,broken_heart,قلب مجروح
🐛,bug,خلل برمجي
🏗,building_construction,تشييد المباني
🌯,burrito,بوريتو
🚌,bus,حافلة
🚏,bus_stop,موقف باص
👤,bust_in_silhouette,تمثال نصفي في صورة ظلية
👥,busts_in_silhouette,تماثيل نصفية في صورة ظلية
🦋,butterfly,فراشة
🌵,cactus,صبار
📅,calendar,التقويم
🤙,call_me_hand,اتصل بي
🤙 🏿,call_me_hand_dark_skin_tone,اتصل بي يد بلون البشرة الداكن
🤙 🏻,call_me_hand_light_skin_tone,اتصل بي يد بلون البشرة الفاتح
🤙 🏾,call_me_hand_medium-dark_skin_tone,اتصل بي بلون بشرة متوسط ​​داكن
🤙 🏼,call_me_hand_medium-light_skin_tone,اتصل بي يد بلون بشرة متوسط ​​فاتح
🤙 🏽,call_me_hand_medium_skin_tone,اتصل بي من ناحية لون البشرة المتوسط
🐪,camel,جمل
📷,camera,الة تصوير
📸,camera_with_flash,كاميرا بفلاش
🏕,camping,تخييم
🕯,candle,شمعة
🍬,candy,حلويات
🛶,canoe,قارب
🗃,card_file_box,مربع ملف البطاقة
📇,card_index,فهرس البطاقة
🗂,card_index_dividers,فواصل فهرسة البطاقة
🎠,carousel_horse,حصان دائري
🎏,carp_streamer,غاسل الكارب
🥕,carrot,جزرة
🏰,castle,قلعة
🐈,cat,قط
🐱,cat_face,وجه القطة
😹,cat_face_with_tears_of_joy,وجه قط بدموع فرح
😼,cat_face_with_wry_smile,وجه قط بابتسامة ساخرة
⛓,chains,السلاسل
📉,chart_decreasing,الرسم البياني يتناقص
📈,chart_increasing,زيادة الرسم البياني
💹,chart_increasing_with_yen,الرسم البياني يتزايد مع الين
🧀,cheese_wedge,الجبن إسفين
🏁,chequered_flag,علم متقلب
🍒,cherries,الكرز
🌸,cherry_blossom,زهرة الكرز
🌰,chestnut,كستناء
🐔,chicken,دجاج
🚸,children_crossing,الأطفال يعبرون
🐿,chipmunk,سنجاب
🍫,chocolate_bar,قطعة شوكولاتة
⛪,church,كنيسة
🚬,cigarette,سيجارة
🎦,cinema,سينما
Ⓜ,circled_M,محاطة بدائرة م
