Unnamed: 0,Arabic Term,Positive Count,Negative Count,Buckwalter index,Sentiment Score
285,رافق,17,15,rAfq,0.006999999999999999
286,يندري,1,7,yndry,-1.4969999999999999
287,بيوت,14,19,bywt,-0.39899999999999997
288,معصوم,27,10,mESwm,0.823
289,: ءش,0,5,:'$,-1.903
290,زبط,298,237,zbT,0.11699999999999999
291,يامرحب,8,1,yAmrHb,1.393
292,يتغدا,0,5,ytgdA,-1.903
293,اجذب,2,5,Aj*b,-0.804
294,موبايلك,50,23,mwbAylk,0.643
295,بناكلها,4,8,bnAklhA,-0.6990000000000001
296,ناتج,40,21,nAtj,0.511
297,كلبش,9,4,klb$,0.5820000000000001
298,سيوتكس,11,7,sywtks,0.294
299,ازهب,6,4,Azhb,0.225
300,ششو,4,5,$$w,-0.293
301,مابغا,5,26,mAbgA,-1.615
302,# لي,68,50,#ly,0.191
303,تنلغي,0,6,tnlgy,-2.057
304,جغرافيا,31,70,jgrAfyA,-0.9079999999999999
305,جماهيري,53,15,jmAhyry,1.105
306,بحتاج,9,5,bHtAj,0.4
307,# اسود,3,5,#Aswd,-0.517
308,ناشبين,10,7,nA$byn,0.207
309,# سكس,3,77,#sks,-3.0810000000000004
310,d,6,24,d/,-1.3840000000000001
311,هامل,6,10,hAml,-0.563
312,نبوظ,5,1,nbwZ,0.988
313,تمردغ,1,8,tmrdg,-1.615
314,سخط,15,33,sxT,-0.865
315,تسلميلي,155,15,tslmyly,2.166
316,جسر,56,29,jsr,0.531
317,اللذينا,3,10,All*ynA,-1.123
318,وجهكك,5,13,wjhkk,-0.958
319,جبل,443,256,jbl,0.436
320,رمل,85,90,rml,-0.168
321,ابشوفه,0,12,Ab$wfh,-2.676
322,ارتسم,2,5,{rtsm,-0.804
323,# الحفلة _ النهاردة _ علي _ اهلوية,9,0,#AlHflp_AlnhArdp_Ely_Ahlwyp,2.1919999999999997
324,سانشيز,65,63,sAn$yz,-0.08
325,هيط,5,0,hyT,1.681
326,re,3,894,re,-5.522
327,ادمة,7,4,Admp,0.359
328,نبلش,10,8,nbl$,0.09
329,damn,5,3,damn,0.294
330,advice,6,0,advice,1.835
331,without,8,10,without,-0.312
332,كس,129,58,ks,0.679
333,حليتو,4,5,Hlytw,-0.293
334,عاااااش,10,0,EAAAAA$,2.287
335,اوشاعات,9,1,Aw$AEAt,1.4980000000000002
336,والجفا,6,2,wAljfA,0.736
337,اختصر,105,92,{xtSr,0.02
338,ماتي,159,437,mAty,-1.1179999999999999
339,ماعرفنا,8,9,mAErfnA,-0.21600000000000003
340,lo,9,1,lo,1.4980000000000002
341,هينجحك,5,0,hynjHk,1.681
342,ميسد,7,8,mysd,-0.22899999999999998
343,افرفش,6,2,Afrf$,0.736
344,ارسطو,15,7,ArsTw,0.5820000000000001
345,بتدعيله,7,1,btdEylh,1.275
346,المطانيخ,20,3,AlmTAnyx,1.547
347,فولهام,2,5,fwlhAm,-0.804
348,اتفشخر,11,2,Atf$xr,1.275
349,هافكرك,5,1,hAfkrk,0.988
350,طفلات,5,0,TflAt,1.681
351,اتلف,8,16,Atlf,-0.747
352,"شوي ,",11,6,"$wy,",0.428
353,وطي,28,15,wTy,0.484
354,نيد,12,13,nyd,-0.185
355,ادخل,147,200,Adxl,-0.41700000000000004
356,الفانتاسي,5,4,AlfAntAsy,0.071
357,حكمة,235,70,Hkmp,1.09
358,شائك,9,7,$A}k,0.11199999999999999
359,تعويذ,6,2,tEwy*,0.736
360,نسخ,69,60,nsx,0.027000000000000003
361,بيفهم,58,30,byfhm,0.5329999999999999
362,مساك,380,42,msAk,2.0709999999999997
363,lancar,6,0,lancar,1.835
364,# لندن,8,3,#lndn,0.7
365,مثلا ?,36,12,mvlA?,0.935
366,المنشنات,20,19,Almn$nAt,-0.062
367,وسهلاا,5,0,wshlAA,1.681
368,بتمرق,5,0,btmrq,1.681
369,ياصبر,6,12,yASbr,-0.73
370,استعمار,13,2,{stEmAr,1.429
371,جانفي,9,10,jAnfy,-0.20600000000000002
372,بتتمنوه,5,1,bttmnwh,0.988
373,اعتراض,114,77,{EtrAD,0.27699999999999997
374,قولتلها,44,25,qwltlhA,0.43799999999999994
375,بتجري,41,39,btjry,-0.062
376,هعملهم,7,0,hEmlhm,1.9680000000000002
377,ازالة,25,8,AzAlp,0.95
378,"انشهد ,",6,3,"An$hd,",0.449
379,# هاشتاج _ امير _ وكوكي _ هيهز _ عرش _ الفولورز,16,1,#hA$tAj_Amyr_wkwky_hyhz_Er$_Alfwlwrz,2.029
380,اكشن,128,92,Ak$n,0.21600000000000003
381,هالدعوات,3,7,hAldEwAt,-0.804
382,طهور,21,39,Thwr,-0.7090000000000001
383,نايتس,8,10,nAyts,-0.312
384,مسؤلية,5,1,msWlyp,0.988
385,قيوط,8,2,qywT,0.988
386,بالتويته,10,2,bAltwyth,1.188
387,ياحسره,0,12,yAHsrh,-2.676
388,هههههههع,5,1,hhhhhhhE,0.988
389,باهزر,14,1,bAhzr,1.9040000000000001
390,شايفة,185,114,$Ayfp,0.37
391,وحدو,6,3,wHdw,0.449
392,ابوكك,5,2,Abwkk,0.5820000000000001
393,درزي,5,0,drzy,1.681
394,كندا,77,29,kndA,0.8440000000000001
395,شايف,628,249,$Ayf,0.812
396,ت,150,286,t,-0.753
397,خدتلك,5,0,xdtlk,1.681
398,# fatma,21,47,#fatma,-0.8909999999999999
399,انتقاء,15,1,{ntqA',1.9680000000000002
400,تيزر,1,9,tyzr,-1.72
401,يامسكين,2,8,yAmskyn,-1.21
402,خصيصة,7,7,xSySp,-0.111
403,اناااا,21,36,AnAAAA,-0.631
404,كوتينهو,6,6,kwtynhw,-0.111
405,# امريكا,13,9,#AmrykA,0.225
406,يادرش,7,0,yAdr$,1.9680000000000002
407,قالن,0,6,qAln,-2.057
408,تدفئة,18,14,tdf}p,0.125
409,الشرك ),0,7,Al$rk),-2.19
410,متمسك,30,29,mtmsk,-0.078
411,الرسمة,36,11,Alrsmp,1.015
412,يامتعلمين,8,0,yAmtElmyn,2.086
413,عندش,10,6,End$,0.341
414,البرسا,24,16,AlbrsA,0.275
415,سماني,3,5,smAny,-0.517
416,32,7,3,32,0.5820000000000001
417,المدهال,2,5,AlmdhAl,-0.804
418,يااهلا,9,0,yAAhlA,2.1919999999999997
419,بييرو,7,7,byyrw,-0.111
420,كمون,17,11,kmwn,0.294
421,# نينو,3,6,#nynw,-0.6709999999999999
422,طمنيني,47,76,Tmnyny,-0.584
423,اوبح,31,15,AwbH,0.5820000000000001
424,بتتخرجين,1,5,bttxrjyn,-1.21
425,اطلعلك,8,4,ATlElk,0.47700000000000004
426,جاذبية,73,35,jA*byp,0.61
427,سقارة,5,1,sqArp,0.988
428,مقارنة,170,51,mqArnp,1.079
429,يااااااااااااا,0,6,yAAAAAAAAAAAAA,-2.057
430,واحتري,0,5,wAHtry,-1.903
431,وحشي,6,25,wH$y,-1.423
432,مستوي,742,520,mstwy,0.244
433,مفصل,24,28,mfSl,-0.259
434,مكاينش,1,5,mkAyn$,-1.21
435,الاستديو,24,36,AlAstdyw,-0.503
436,كورسات,50,18,kwrsAt,0.8759999999999999
437,لانميات,0,5,lAnmyAt,-1.903
438,# aya,1,5,#aya,-1.21
439,# ناقص,7,7,#nAqS,-0.111
440,مطلق,167,71,mTlq,0.736
441,تسويقي,10,3,tswyqy,0.9009999999999999
442,اطمنوا,8,3,ATmnwA,0.7
443,: - d,26472,589,:-d,3.693
444,بنااام,3,5,bnAAAm,-0.517
445,هس,260,262,hs,-0.11900000000000001
446,"اوي ,",12,5,"Awy,",0.662
447,يسيئك,10,2,ysy}k,1.188
448,friends,41,14,friends,0.919
449,ادعلي,5,13,AdEly,-0.958
450,# وفاة _ الشاعر _ رشيد _ الزلامي,2,19,#wfAp_Al$AEr_r$yd_AlzlAmy,-2.008
451,جددو,7,5,jddw,0.177
452,واوباما,6,2,wAwbAmA,0.736
453,شعور,539,1996,$Ewr,-1.419
454,اقولتس,6,9,Aqwlts,-0.46799999999999997
455,# هم,20,44,#hm,-0.873
456,الريتويتات,13,5,AlrytwytAt,0.736
457,# غش,5,2,#g$,0.5820000000000001
458,كاد,92,126,kAd,-0.423
459,رادع,6,6,rAdE,-0.111
460,ارتاااح,0,7,ArtAAAH,-2.19
461,كتل,9,14,ktl,-0.517
462,# تعليم,12,4,#tElym,0.8440000000000001
463,وناستي,2,11,wnAsty,-1.4969999999999999
464,ماااسر,6,4,mAAAsr,0.225
465,هنا,3999,2523,hnA,0.349
466,قرعة,82,45,qrEp,0.479
467,فيناا,4,16,fynAA,-1.335
468,دافنشي,12,3,dAfn$y,1.068
469,نازع,4,6,nAzE,-0.44799999999999995
470,صبيح,2,5,SbyH,-0.804
471,# انجز,5,0,#Anjz,1.681
472,كوسا,3,7,kwsA,-0.804
473,ممتن,67,19,mmtn,1.113
474,بينسحب,14,47,bynsHb,-1.274
475,جب,296,245,jb,0.077
476,اقتحم,35,18,{qtHm,0.528
477,الديناصورات,7,5,AldynASwrAt,0.177
478,فلق,42,22,flq,0.515
479,حلج,9,11,Hlj,-0.293
480,متشمتش,5,4,mt$mt$,0.071
481,fel,8,2,fel,0.988
482,مؤخر,149,50,mWxr,0.968
483,محجر,10,9,mHjr,-0.016
484,بطولي,8,2,bTwly,0.988
485,سوعاد,4,8,swEAd,-0.6990000000000001
486,ضليع,9,1,DlyE,1.4980000000000002
487,تادب,27,17,tAdb,0.331
488,اكيس,30,19,Akys,0.327
489,استحلف,3,5,{stHlf,-0.517
490,جمصة,11,0,jmSp,2.374
491,هيدخلوا,9,1,hydxlwA,1.4980000000000002
492,# معسكرات _ الصحراء,14,0,#mEskrAt_AlSHrA',2.597
493,مفرقتش,23,7,mfrqt$,0.988
494,اكرهو,2,10,Akrhw,-1.41
495,عجوز,115,189,Ejwz,-0.604
496,"راجل ,",6,0,"rAjl,",1.835
497,"الكريم ,",9,1,"Alkrym,",1.4980000000000002
498,وشدخل,5,4,w$dxl,0.071
499,hhhhh,13,5,hhhhh,0.736
500,ابتهاج,10,8,{bthAj,0.09
501,اتعلقت,7,10,AtElqt,-0.429
502,بالفاينل,7,17,bAlfAynl,-0.922
503,هيتلعب,6,3,hytlEb,0.449
504,انثني,4,10,{nvny,-0.9
505,ديهيون,0,12,dyhywn,-2.676
506,بنعطيكم,6,1,bnETykm,1.1420000000000001
507,احرجتيني,24,16,AHrjtyny,0.275
508,اذ,112,128,A*,-0.243
509,بتهدي,9,2,bthdy,1.093
510,ماخلتني,1,17,mAxltny,-2.3080000000000003
511,جودة,165,114,jwdp,0.256
512,التزام,35,15,{ltzAm,0.7
513,الكوبايه,16,4,AlkwbAyh,1.113
514,قارة,49,23,qArp,0.623
515,ههههه,2161,660,hhhhh,1.074
516,عاللاب,16,7,EAllAb,0.643
517,بينفع,38,13,bynfE,0.9129999999999999
518,ابيض,1,6,{byD,-1.364
519,# حلال,5,12,#HlAl,-0.884
520,هتنفعي,5,0,htnfEy,1.681
521,يارووحي,0,5,yArwwHy,-1.903
522,وعطني,18,11,wETny,0.348
523,انزاجي,4,5,AnzAjy,-0.293
524,بسالكم,2,16,bsAlkm,-1.8459999999999999
525,اتحرمش,5,1,AtHrm$,0.988
526,حاجة,10141,4854,HAjp,0.626
527,ابتلاء,56,56,{btlA',-0.111
528,مقولة,177,116,mqwlp,0.309
529,بلاتي,5,0,blAty,1.681
530,# exo,6,2,#exo,0.736
531,اتفاقي,5,1,{tfAqy,0.988
532,امتحانتها,5,0,AmtHAnthA,1.681
533,اكب,14,12,Akb,0.032
534,جتتي,5,2,jtty,0.5820000000000001
535,اوووووه,22,15,Awwwwwh,0.252
536,توشكر,11,0,tw$kr,2.374
537,اذبحوني,0,9,A*bHwny,-2.414
538,متعرفوش,27,8,mtErfw$,1.024
539,يابلاش,6,4,yAblA$,0.225
540,غت,46,36,gt,0.128
541,تراقص,12,5,trAqS,0.662
542,كنفدرالية,10,3,knfdrAlyp,0.9009999999999999
543,هباء,8,30,hbA',-1.348
544,بايدك,31,18,bAydk,0.41
545,fm,17,12,fm,0.214
546,جمااله,0,5,jmAAlh,-1.903
547,مجوسي,13,4,mjwsy,0.919
548,دوقي,5,1,dwqy,0.988
549,# سوني,2,12,#swny,-1.577
550,رفقاتي,3,5,rfqAty,-0.517
551,هال,97,83,hAl,0.043
552,المزاكره,28,20,AlmzAkrh,0.212
553,هالتطبيق,3,5,hAltTbyq,-0.517
554,حوار,1009,211,HwAr,1.45
555,bang,8,6,bang,0.14
556,ينقهر,5,5,ynqhr,-0.111
557,53,6,1,53,1.1420000000000001
558,قاصر,37,18,qASr,0.5820000000000001
559,تصريح,250,89,tSryH,0.915
560,الانجليش,6,4,AlAnjly$,0.225
561,ساخن,60,28,sAxn,0.633
562,مستنين,57,11,mstnyn,1.464
563,اتكتب,15,7,Atktb,0.5820000000000001
564,همبه,5,1,hmbh,0.988
565,فعل,4481,2451,fEl,0.49200000000000005
566,ديك,352,197,dyk,0.467
567,دفيء,7,1,dfy',1.275
568,ضرايب,7,8,DrAyb,-0.22899999999999998
569,ياااااااارب,20,60,yAAAAAAAArb,-1.177
570,مازمني,0,6,mAzmny,-2.057
571,طااب,8,4,TAAb,0.47700000000000004
572,كذبة,86,54,k*bp,0.348
573,واالله,6,18,wAAllh,-1.11
574,ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,14,80,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,-1.797
575,# حكاية _ حب,2,8,#HkAyp_Hb,-1.21
576,# akatsukinoyona,2,15,#akatsukinoyona,-1.785
577,اياكش,7,2,AyAk$,0.87
578,نقص,319,394,nqS,-0.322
579,لككم,1,10,lkkm,-1.8159999999999998
580,قطيعة,18,13,qTyEp,0.19399999999999998
581,قلتلك,245,90,qltlk,0.883
582,بيادة,9,1,byAdp,1.4980000000000002
583,جاهد,43,45,jAhd,-0.155
584,كورياا,2,5,kwryAA,-0.804
585,خاالص,54,27,xAAlS,0.564
586,مداعبة,24,2,mdAEbp,2.009
587,قلبييي,0,18,qlbyyy,-3.055
588,اختبااااار,0,5,AxtbAAAAAr,-1.903
589,بينهي,6,1,bynhy,1.1420000000000001
590,الستوري,5,16,Alstwry,-1.1520000000000001
591,# محمد _ جحفلي _ هلالي,6,0,#mHmd_jHfly_hlAly,1.835
592,مائدة,10,1,mA}dp,1.594
593,ياعباس,5,1,yAEbAs,0.988
